,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,12.43,12.43,-,-
1,Short-Term Investments,1.09,1.09,-,-
2,Cash & Short-Term Investments,13.52,13.52,-,5.59
3,Accounts Receivable,5.9,5.9,-,-
4,Other Receivables,0.06,0.06,-,-
5,Receivables,5.96,5.96,-,-
6,Inventory,5.96,5.96,-,-
7,Prepaid Expenses,1.48,1.48,-,-
8,Total Current Assets,26.92,26.92,-,-
9,"Property, Plant & Equipment",31.84,31.84,-,-
10,Long-Term Investments,0.91,0.91,-,-
11,Goodwill,4.43,4.43,-,-
12,Other Intangible Assets,2.14,2.14,-,-
13,Long-Term Deferred Tax Assets,0.64,0.64,-,-
14,Other Long-Term Assets,4.0,4.0,-,-
15,Total Assets,70.86,70.86,-,-
16,Accounts Payable,2.42,2.42,-,-
17,Accrued Expenses,3.51,3.51,-,-
18,Current Portion of Long-Term Debt,3.34,3.34,-,-
19,Current Portion of Leases,2.95,2.95,-,-
20,Current Income Taxes Payable,1.43,1.43,-,-
21,Other Current Liabilities,1.65,1.65,-,-
22,Total Current Liabilities,15.3,15.3,-,-
23,Long-Term Debt,0.18,0.18,-,-
24,Long-Term Leases,25.54,25.54,-,-
25,Other Long-Term Liabilities,0.75,0.75,-,-
26,Total Liabilities,41.77,41.77,-,-
27,Common Stock,0.0,0.0,-,-
28,Retained Earnings,-4.02,-4.02,-,-
29,Comprehensive Income & Other,33.11,33.11,-,-
30,Total Common Equity,29.1,29.1,-,21.3
31,Shareholders' Equity,29.1,29.1,-,22.31
32,Total Liabilities & Equity,70.86,70.86,-,-
33,Total Debt,32.01,32.01,-,35.94
34,Net Cash (Debt),-18.49,-18.49,-,-30.35
35,Net Cash Per Share,-0.15,-0.15,-,-0.25
36,Filing Date Shares Outstanding,123.0,123.0,123,123
37,Total Common Shares Outstanding,123.0,123.0,123,123
38,Working Capital,11.62,11.62,-,-
39,Book Value Per Share,0.24,0.24,-,0.17
40,Tangible Book Value,22.53,22.53,-,10.17
41,Tangible Book Value Per Share,0.18,0.18,-,0.08
42,Land,0.57,0.57,-,-
43,Buildings,1.34,1.34,-,-
44,Machinery,22.21,22.21,-,-
