,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,1.10,1.10,1.10,-,1.61
1,Debt / EBITDA Ratio,2.63,2.29,2.29,-,4.27
2,Debt / FCF Ratio,2.25,3.62,5.66,-,29.09
3,Asset Turnover,0.52,-,-,-,
4,Inventory Turnover,-,3.79,-,-,-
5,Quick Ratio,1.27,1.27,1.27,-,-
6,Current Ratio,1.76,1.76,1.76,-,-
7,Return on Equity (ROE),14.41%,-,-,-,
8,Return on Assets (ROA),9.27%,-,-,-,
9,Return on Capital (ROIC),10.75%,-,-,-,
10,Return on Capital Employed (ROCE),15.07%,13.71%,8.98%,-,-
