,Fiscal Quarter,Current,H1 2025,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,161,163,364,799,795,936,1474,1508,212,220,584,Upgrade
1,Market Cap Growth,-14.88%,-79.55%,-54.16%,-14.60%,-46.07%,-37.94%,595.17%,585.45%,-63.70%,-70.19%,19.67%,Upgrade
2,Enterprise Value,217,196,388,923,990,1087,1703,1912,579,1113,1496,Upgrade
3,Last Close Price,0.30,0.30,0.68,1.79,2.48,2.92,4.88,5.80,1.06,1.10,2.92,Upgrade
4,PE Ratio,-,-,-41.46,-,-,-6.86,-,7.15,-,-1.54,-,Upgrade
5,PS Ratio,-,0.22,0.58,1.18,1.12,1.95,3.15,3.13,0.44,0.51,1.27,Upgrade
6,PB Ratio,-5.33,-5.33,2.96,12.04,-15.97,7.36,16.93,-38.63,-0.31,-0.47,-0.60,Upgrade
7,P/TBV Ratio,-,-,3.58,18.44,-,7.50,17.44,-,-,-,-,Upgrade
8,P/FCF Ratio,-,35.50,-,4.49,6.13,-,-,-,80.00,-,21.85,Upgrade
9,P/OCF Ratio,-,34.73,-,4.41,5.96,-,-,-,76.48,-,13.69,Upgrade
10,EV/Sales Ratio,-,0.26,0.61,1.37,1.40,2.26,3.64,3.97,1.21,2.60,3.26,Upgrade
11,EV/EBITDA Ratio,-,-,16.36,-,-,24.39,14.53,-29.33,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,16.74,-,-,24.70,14.59,-28.99,-,-,-,Upgrade
13,EV/FCF Ratio,-,42.50,-,5.18,7.64,-,-,-,218.43,-,55.96,Upgrade
14,Debt / Equity Ratio,-5.86,-5.86,0.96,1.54,-4.40,2.20,2.93,-9.00,-0.69,-0.91,-1.04,Upgrade
15,Debt / FCF Ratio,-,39.07,-,0.57,1.69,-,-,-,176.41,-,37.86,Upgrade
16,Return on Capital Employed (ROCE),-,-,10.53%,-,-,12.15%,37.76%,-29.89%,-,-,-,Upgrade
17,Earnings Yield,0.77%,-2.41%,-29.74%,-24.84%,-14.57%,18.16%,13.99%,142.47%,-64.97%,-155.04%,Upgrade,
18,FCF Yield,2.82%,-,22.28%,16.30%,-6.09%,-6.04%,-3.82%,1.25%,1.00%,4.58%,Upgrade,
19,Buyback Yield / Dilution,-40.10%,-46.84%,-49.54%,-19.25%,31.78%,24.85%,-18.98%,-3.08%,-97.50%,-97.50%,-,Upgrade
20,Total Shareholder Return,-40.10%,-46.84%,-49.54%,-19.25%,31.78%,24.85%,-18.98%,-3.08%,-97.50%,-97.50%,-,Upgrade
