Stock Symbol,Date,Stock Price
002472,2024-09-30,27.56
002472,2024-06-30,22.02
002472,2024-03-31,23.01
002472,2023-12-31,25.89
002472,2023-09-30,28.33
002472,2023-06-30,36.11
002472,2023-03-31,26.19
002472,2022-12-31,25.24
002472,2022-09-30,28.85
002472,2022-06-30,31.57
002472,2022-03-31,20.57
002472,2021-12-31,27.28
002472,2021-09-30,23.24
002472,2021-06-30,15.53
002472,2021-03-31,8.44
002472,2020-12-31,7.12
002472,2020-09-30,6.43
002472,2020-06-30,4.93
002472,2020-03-31,4.78
002472,2019-12-31,5.48
