,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,890,900,900,-,-
1,PE Ratio,13.32,14.88,20.77,-,-
2,PS Ratio,4.75,5.32,7.09,-,-
3,PB Ratio,0.98,0.99,0.99,-,-
4,Debt / Equity Ratio,0.41,0.41,0.41,-,0.50
5,Quick Ratio,3.62,3.62,3.62,-,-
6,Current Ratio,3.66,3.66,3.66,-,-
7,Asset Turnover,0.13,-,-,-,
8,Return on Equity (ROE),7.58%,-,-,-,
9,Return on Assets (ROA),5.31%,-,-,-,
10,Earnings Yield,6.71%,6.72%,4.81%,-,-
11,Earnings Yield,6.71%,6.72%,4.81%,-,-
12,FCF Yield,-4.63%,-8.13%,-4.80%,-,-
13,Dividend Yield,3.80%,1.92%,0.97%,-,-
14,Payout Ratio,184.25%,29.12%,29.12%,-,-
15,Total Shareholder Return,-15.33%,1.92%,0.97%,-,-
