,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,60.07,60.07,-,-
1,Loans & Lease Receivables,1070.0,1070.0,-,-
2,Other Receivables,1.52,1.52,-,-
3,"Property, Plant & Equipment",25.99,25.99,-,-
4,Other Current Assets,12.53,12.53,-,-
5,Long-Term Deferred Tax Assets,20.94,20.94,-,-
6,Other Long-Term Assets,100.41,100.41,-,-
7,Total Assets,1291.0,1291.0,-,-
8,Accrued Expenses,5.98,5.98,-,-
9,Short-Term Debt,0.1,0.1,-,-
10,Current Portion of Long-Term Debt,294.53,294.53,-,-
11,Long-Term Debt,50.74,50.74,-,-
12,Long-Term Leases,22.99,22.99,-,-
13,Current Income Taxes Payable,11.46,11.46,-,-
14,Total Liabilities,385.79,385.79,-,-
15,Common Stock,0.05,0.05,-,-
16,Additional Paid-In Capital,198.75,198.75,-,-
17,Retained Earnings,686.41,686.41,-,-
18,Comprehensive Income & Other,20.0,20.0,-,-
19,Shareholders' Equity,905.21,905.21,-,720.54
20,Total Liabilities & Equity,1291.0,1291.0,-,-
21,Total Debt,368.35,368.35,-,361.29
22,Net Cash (Debt),-308.28,-308.28,-,-337.16
23,Net Cash Per Share,-0.62,-0.62,-,-0.90
24,Filing Date Shares Outstanding,500.0,500.0,375,375
25,Total Common Shares Outstanding,500.0,500.0,375,375
26,Working Capital,831.6,831.6,-,-
27,Book Value Per Share,1.81,1.81,-,1.92
28,Tangible Book Value,905.21,905.21,-,720.54
29,Tangible Book Value Per Share,1.81,1.81,-,1.92
