,Fiscal Quarter,Current,Q4 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '23 Dec 31, 2023"
0,Debt / Equity Ratio,1.94,5.44
1,Debt / EBITDA Ratio,1.81,1.82
2,Debt / FCF Ratio,3.28,14.82
3,Quick Ratio,0.83,0.64
4,Current Ratio,1.08,0.92
5,Return on Capital Employed (ROCE),84.71%,54.13%
