Stock Symbol,Date,Stock Price
1211,2024-09-30,283.8
1211,2024-06-30,232.0
1211,2024-03-31,198.588
1211,2023-12-31,211.197
1211,2023-09-30,238.385
1211,2023-06-30,246.265
1211,2023-03-31,225.251
1211,2022-12-31,188.787
1211,2022-09-30,190.552
1211,2022-06-30,307.784
1211,2022-03-31,219.872
1211,2021-12-31,261.22
1211,2021-09-30,238.097
1211,2021-06-30,227.514
1211,2021-03-31,161.314
1211,2020-12-31,198.781
1211,2020-09-30,118.76
1211,2020-06-30,58.549
1211,2020-03-31,39.577
1211,2019-12-31,37.964
