,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,5005,4444,6053,8017,-,-
1,Market Cap Growth,-44.57%,-44.57%,-,-,-,-
2,Enterprise Value,4456,3795,5268,7372,-,-
3,Last Close Price,24.90,21.95,29.90,39.60,-,-
4,PB Ratio,4.97,4.38,5.38,6.44,-,-
5,P/TBV Ratio,4.40,4.40,5.41,6.46,-,-
6,Debt / Equity Ratio,0.03,0.03,0.02,0.02,0.01,-
7,Earnings Yield,-6.01%,-6.77%,-4.54%,-2.05%,-,-
8,FCF Yield,-4.99%,-5.62%,-5.02%,-4.52%,-,-
9,Buyback Yield / Dilution,-4.37%,-3.73%,-5.02%,-98.76%,-,-
10,Total Shareholder Return,-4.37%,-3.73%,-5.02%,-98.76%,-,-
