,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,54,9,22,34,26,30,207,133,23,44,38,Upgrade
1,Market Cap Growth,-73.25%,-73.25%,-15.68%,11.63%,-87.46%,-77.37%,793.94%,204.00%,-38.72%,8.33%,-67.44%,Upgrade
2,Enterprise Value,119,86,100,111,113,112,285,184,50,79,37,Upgrade
3,Last Close Price,0.30,0.21,0.50,0.78,0.72,0.84,5.73,3.69,2.56,4.17,4.67,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-2.47,-,-0.28,-,Upgrade
5,PS Ratio,0.17,0.14,0.35,0.54,0.38,0.38,2.20,1.35,0.23,0.52,0.46,Upgrade
6,PB Ratio,0.04,0.03,0.07,0.10,0.08,0.08,0.57,0.33,0.07,0.12,0.10,Upgrade
7,P/TBV Ratio,0.03,0.03,0.07,0.10,0.08,0.08,0.58,0.34,0.07,0.12,0.11,Upgrade
8,P/FCF Ratio,9.36,1.56,6.80,-,-,-,-,-,-,-0.59,-,Upgrade
9,P/OCF Ratio,1.43,1.43,5.49,-30.83,-,-,-,-,-,-0.59,-,Upgrade
10,EV/Sales Ratio,1.82,1.32,1.57,1.77,1.67,1.40,3.03,1.87,0.51,0.93,0.45,Upgrade
11,EV/EBITDA Ratio,-,-3.27,-,-5.14,-,-4.79,-,-3.67,-,-0.66,-,Upgrade
12,EV/EBIT Ratio,-,-3.43,-,-5.00,-,-4.65,-,-3.63,-,-0.66,-,Upgrade
13,EV/FCF Ratio,20.53,14.92,30.98,-,-,-,-,-,-,-1.05,-,Upgrade
14,Debt / Equity Ratio,0.30,0.30,0.31,0.28,0.28,0.25,0.25,0.22,0.22,0.14,0.15,Upgrade
15,Debt / FCF Ratio,15.79,15.79,29.14,-,-,-,-,-,-,-0.71,-,Upgrade
16,Return on Capital Employed (ROCE),-,-8.35%,-,-6.47%,-,-6.64%,-,-12.55%,-,-31.41%,-,Upgrade
17,Earnings Yield,-76.22%,-458.15%,-187.13%,-87.44%,-112.99%,-129.84%,-16.83%,-40.56%,-233.43%,-359.94%,-418.92%,Upgrade
18,FCF Yield,10.68%,64.22%,14.70%,-3.98%,-35.28%,-42.33%,-39.85%,-79.10%,-84.67%,-170.38%,-238.10%,Upgrade
19,Buyback Yield / Dilution,1.63%,3.42%,-14.92%,-18.87%,-1.46%,-4.09%,-271.67%,-364.90%,-51.25%,-17.86%,-3.10%,Upgrade
20,Total Shareholder Return,1.63%,3.42%,-14.92%,-18.87%,-1.46%,-4.09%,-271.67%,-364.90%,-51.25%,-17.86%,-3.10%,Upgrade
