Stock Symbol,Date,Stock Price
603988,2024-09-30,15.4
603988,2024-06-30,7.81
603988,2024-03-31,9.12
603988,2023-12-31,11.3
603988,2023-09-30,9.96
603988,2023-06-30,11.44
603988,2023-03-31,10.24
603988,2022-12-31,9.18
603988,2022-09-30,9.28
603988,2022-06-30,10.79
603988,2022-03-31,10.08
603988,2021-12-31,15.99
603988,2021-09-30,19.54
603988,2021-06-30,16.52
603988,2021-03-31,15.51
603988,2020-12-31,11.53
603988,2020-09-30,13.04
603988,2020-06-30,11.98
603988,2020-03-31,7.82
603988,2019-12-31,8.74
