,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,315,296,401,1352,2811,2604,2146,2618,3741,2776,3544,Upgrade
1,Market Cap Growth,-78.12%,-78.12%,-85.73%,-48.07%,30.97%,-0.55%,-42.63%,-5.67%,5.56%,-70.96%,-90.02%,Upgrade
2,Enterprise Value,17336,14646,14302,11690,11100,9739,8796,7306,8806,10047,12423,Upgrade
3,Last Close Price,0.49,0.47,0.63,2.55,5.30,5.75,5.45,6.65,9.50,7.05,9.00,Upgrade
4,PE Ratio,-,-,-,-,-,47.58,-,-,-,-,-,Upgrade
5,PS Ratio,0.01,0.01,0.01,0.11,-,0.22,-,0.10,0.19,0.21,0.28,Upgrade
6,PB Ratio,0.03,0.02,0.02,0.07,0.14,0.12,0.10,0.11,0.15,0.13,0.15,Upgrade
7,P/TBV Ratio,0.04,0.04,0.04,0.13,0.24,0.21,0.15,0.15,0.21,0.17,0.21,Upgrade
8,P/FCF Ratio,-,-,-0.22,-,-,-,-,-,-,1.23,2.07,Upgrade
9,P/OCF Ratio,5.30,-,0.46,-,-,14.49,-,13.02,-,0.94,1.34,Upgrade
10,EV/Sales Ratio,0.67,0.57,0.52,0.94,-,0.83,-,0.29,0.46,0.75,0.99,Upgrade
11,EV/EBITDA Ratio,19.43,-,7.28,11.70,-,4.75,-,8.27,9.54,6.45,9.36,Upgrade
12,EV/EBIT Ratio,369.60,-,11.96,18.17,-,5.64,-,33.38,-,10.92,19.30,Upgrade
13,EV/FCF Ratio,-7.41,-,-7.72,-,-,-,-,-,-,4.45,7.26,Upgrade
14,Debt / Equity Ratio,1.03,1.03,0.83,0.81,0.71,0.63,0.54,0.41,0.37,0.49,0.51,Upgrade
15,Debt / FCF Ratio,-,-,-8.62,-,-,-,-,-,-,4.81,7.01,Upgrade
16,Return on Capital Employed (ROCE),0.16%,-,4.34%,2.23%,-,6.35%,-,0.75%,-,3.48%,2.23%,Upgrade
17,Earnings Yield,-775.53%,-825.56%,-261.18%,-13.79%,-,2.10%,-,-38.15%,-28.39%,-34.88%,-90.73%,Upgrade
18,FCF Yield,-743.00%,-790.94%,-461.95%,-136.95%,-,-45.07%,-,-36.99%,9.40%,81.39%,48.26%,Upgrade
19,Buyback Yield / Dilution,-17.07%,-20.08%,-,-32.26%,-,-1.82%,-,-,0.10%,0.16%,0.10%,Upgrade
20,Total Shareholder Return,-17.07%,-20.08%,-,-32.26%,-,-1.82%,-,-,0.10%,0.16%,0.10%,Upgrade
