,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,70,376,588,346,142,258,194,377,330,97,114,Upgrade
1,Market Cap Growth,8.73%,8.73%,313.09%,33.89%,-26.72%,-31.48%,-41.15%,287.38%,188.88%,-4.17%,-32.50%,Upgrade
2,Enterprise Value,-137,196,279,235,67,137,109,340,293,61,75,Upgrade
3,Last Close Price,0.07,0.43,0.68,0.48,0.28,0.74,0.60,1.40,1.81,0.64,0.75,Upgrade
4,PE Ratio,-,-,-,21.45,-,-,-,-40.06,-,-,-,Upgrade
5,PS Ratio,8.73,55.84,72.76,41.64,14.80,28.65,35.95,156.16,892.28,1497.74,-,Upgrade
6,PB Ratio,0.16,1.02,1.56,1.02,0.52,1.27,0.87,2.01,6.69,2.34,2.78,Upgrade
7,P/TBV Ratio,1.02,1.02,1.56,1.02,0.52,1.27,0.87,2.01,6.69,2.34,2.78,Upgrade
8,P/FCF Ratio,38.10,206.13,-,-,-6.14,-,-5.57,-,-,-,37.92,Upgrade
9,P/OCF Ratio,195.42,195.42,-,-,-6.19,-,-5.62,-,-,-,37.92,Upgrade
10,EV/Sales Ratio,29.09,29.09,34.55,28.29,6.92,15.21,20.25,140.75,792.38,937.76,-,Upgrade
11,EV/EBITDA Ratio,-,-18.22,-,-,-,-,-,30.47,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-17.64,-,-,-,-,-,30.50,-,-,-,Upgrade
13,EV/FCF Ratio,-75.06,107.38,-,-,-2.87,-,-3.14,-,-,-,24.86,Upgrade
14,Debt / Equity Ratio,0.08,0.08,0.16,0.01,0.16,0.10,0.02,0.24,-,-,-,Upgrade
15,Debt / FCF Ratio,15.41,15.41,-,-,-1.89,-,-0.16,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-3.00%,-,-,-,-,-,5.95%,-,-,-,Upgrade
17,Earnings Yield,-85.84%,-15.86%,-4.89%,4.66%,-16.02%,-17.17%,-10.30%,-2.50%,-4.68%,-24.15%,-45.97%,Upgrade
18,FCF Yield,2.62%,0.49%,-4.75%,23.46%,-16.29%,-27.34%,-17.95%,-25.00%,-5.66%,1.76%,2.64%,Upgrade
19,Buyback Yield / Dilution,-127.49%,-90.10%,-181.27%,-86.04%,-73.54%,-28.38%,-54.36%,-79.99%,-11.60%,-,-9.31%,Upgrade
20,Total Shareholder Return,-127.49%,-90.10%,-181.27%,-86.04%,-73.54%,-28.38%,-54.36%,-79.99%,-11.60%,-,-9.31%,Upgrade
