,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2008,213,310,399,465,961,1235,534,417,549,925,Upgrade
1,Market Cap Growth,-46.60%,-46.60%,-33.46%,-58.43%,-62.35%,80.00%,196.34%,-2.78%,-54.95%,-43.16%,-7.61%,Upgrade
2,Enterprise Value,2292,489,501,653,721,1251,1355,719,642,468,814,Upgrade
3,Last Close Price,0.96,0.10,0.15,0.19,0.27,0.57,0.73,0.31,0.32,0.42,0.71,Upgrade
4,PE Ratio,-,-,-,-,-,-,-194.59,-,-9.71,-,-,Upgrade
5,PS Ratio,11.57,1.24,1.45,1.22,0.92,1.47,1.44,0.42,0.40,1.20,2.55,Upgrade
6,PB Ratio,2.90,0.29,0.41,0.44,0.52,0.82,0.98,0.43,0.37,0.49,0.83,Upgrade
7,P/TBV Ratio,0.49,0.49,0.66,0.65,0.80,1.12,1.32,0.59,0.45,0.62,0.88,Upgrade
8,P/FCF Ratio,1266.78,134.60,-,-,-20.50,-,-,8.14,-6.98,-,-,Upgrade
9,P/OCF Ratio,16.45,16.45,-,16.45,-28.57,-,-,5.74,-20.26,-,-,Upgrade
10,EV/Sales Ratio,13.20,2.84,2.34,2.00,1.43,1.91,1.58,0.56,0.61,1.03,2.25,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,30.35,-20.17,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,61.54,-14.79,-,-,Upgrade
13,EV/FCF Ratio,1445.87,308.55,-,-,-31.75,-,-,10.97,-10.75,-,-,Upgrade
14,Debt / Equity Ratio,0.47,0.47,0.45,0.35,0.37,0.30,0.30,0.24,0.22,0.27,0.03,Upgrade
15,Debt / FCF Ratio,213.99,213.99,-,-,-14.66,-,-,4.51,-4.25,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,0.92%,-3.09%,-,-,Upgrade
17,Earnings Yield,-6.12%,-57.61%,-42.34%,-84.44%,-71.75%,-3.67%,-0.51%,-0.29%,-10.30%,-25.05%,-11.46%,Upgrade
18,FCF Yield,0.08%,0.74%,-2.47%,3.38%,-4.88%,-12.38%,-4.42%,12.28%,-14.33%,-21.01%,-1.53%,Upgrade
19,Buyback Yield / Dilution,-29.36%,-22.44%,-37.12%,-11.99%,-0.04%,-15.44%,-49.95%,-29.94%,-,-,-7.13%,Upgrade
20,Total Shareholder Return,-29.36%,-22.44%,-37.12%,-11.99%,-0.04%,-15.44%,-49.95%,-29.94%,-,-,-7.13%,Upgrade
