,Fiscal Quarter,Current,Q1 2017,Q1 2016
,Period Ending,"Mar '25 Mar 10, 2025","Mar '17 Mar 31, 2017","Mar '16 Mar 31, 2016"
0,Debt / Equity Ratio,1.60,1.60,0.79
1,Debt / EBITDA Ratio,18.89,-,7.62
2,Debt / FCF Ratio,-,-112.37,-
3,Quick Ratio,0.44,0.44,-
4,Current Ratio,1.14,1.14,-
