Stock Symbol,Date,Stock Price
688686,2024-09-30,61.84
688686,2024-06-30,63.88
688686,2024-03-31,90.51
688686,2023-12-31,110.85
688686,2023-09-30,112.41
688686,2023-06-30,162.79
688686,2023-03-31,135.73
688686,2022-12-31,129.94
688686,2022-09-30,154.85
688686,2022-06-30,172.03
688686,2022-03-31,121.88
688686,2021-12-31,186.45
688686,2021-09-30,249.11
688686,2021-06-30,298.01
688686,2021-03-31,156.72
688686,2020-12-31,142.88
688686,2020-09-30,
688686,2020-06-30,
688686,2020-03-31,
688686,2019-12-31,
