,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,4176,8365,24039,-,-,-
1,Enterprise Value,6042,10814,29185,-,-,-
2,Last Close Price,8.00,16.18,46.50,-,-,-
3,PS Ratio,0.60,1.23,3.35,-,-,-
4,PB Ratio,2.02,4.09,9.59,-,-,-
5,P/TBV Ratio,4.07,4.07,9.73,-,-,-
6,EV/Sales Ratio,0.89,1.59,4.07,-,-,-
7,Debt / Equity Ratio,1.35,1.35,1.41,2.72,3.75,-
8,Debt / FCF Ratio,-,-,-,-,2.97,-
9,Return on Capital Employed (ROCE),-,-,-,13.63%,23.51%,-
10,Earnings Yield,-10.89%,-5.43%,1.08%,-,-,-
11,FCF Yield,-73.00%,-36.45%,-10.84%,-,-,-
12,Buyback Yield / Dilution,-3.12%,-3.52%,-,-,-,-
13,Total Shareholder Return,-3.12%,-3.52%,-,-,-,-
