,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,0.01,0.01,0.01,-,1.26
1,Debt / EBITDA Ratio,0.02,0.02,0.02,-,1.18
2,Asset Turnover,1.41,-,-,-,
3,Inventory Turnover,-,1892.72,-,-,-
4,Quick Ratio,1.09,1.09,1.09,-,-
5,Current Ratio,1.10,1.10,1.10,-,-
6,Return on Equity (ROE),40.54%,-,-,-,
7,Return on Assets (ROA),7.32%,-,-,-,
8,Return on Capital (ROIC),31.13%,-,-,-,
9,Return on Capital Employed (ROCE),42.03%,40.78%,29.48%,-,-
