,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,231.67,231.67,195.38,195.38
1,Cost of Revenue,196.84,196.84,167.52,167.52
2,Gross Profit,34.82,34.82,27.86,27.86
3,"Selling, General & Admin",14.6,14.6,12.37,12.37
4,Research & Development,0.11,0.11,-,-
5,Other Operating Expenses,-0.47,-0.47,-0.32,-0.32
6,Operating Expenses,15.57,15.57,12.37,12.37
7,Operating Income,19.25,19.25,15.48,15.48
8,Interest Expense,-0.02,-0.02,-0.11,-0.11
9,Interest & Investment Income,0.15,0.15,0.18,0.18
10,Other Non Operating Income (Expenses),-0.3,-0.3,-0.24,-0.24
11,Pretax Income,19.08,19.08,15.32,15.32
12,Income Tax Expense,3.58,3.58,2.71,2.71
13,Earnings From Continuing Operations,15.5,15.5,12.61,12.61
14,Minority Interest in Earnings,-0.67,-0.67,-0.25,-0.25
15,Net Income,14.84,14.84,12.36,12.36
16,Net Income to Common,14.84,14.84,12.36,12.36
17,Shares Outstanding (Basic),50,50,50,50
18,Shares Outstanding (Diluted),50,50,50,50
19,EPS (Basic),0.30,0.30,0.25,0.25
20,EPS (Diluted),0.30,0.30,0.25,0.25
21,Free Cash Flow,-16.41,-16.41,-20.74,-20.74
22,Free Cash Flow Per Share,-0.33,-0.33,-0.41,-0.41
23,Gross Margin,15.03%,15.03%,14.26%,14.26%
24,Operating Margin,8.31%,8.31%,7.93%,7.93%
25,Profit Margin,6.40%,6.40%,6.33%,6.33%
26,Free Cash Flow Margin,-7.08%,-7.08%,-10.61%,-10.61%
27,EBITDA,22.09,22.09,18.14,18.14
28,EBITDA Margin,9.54%,9.54%,9.28%,9.28%
29,D&A For EBITDA,2.84,2.84,2.66,2.66
30,EBIT,19.25,19.25,15.48,15.48
31,EBIT Margin,8.31%,8.31%,7.93%,7.93%
32,Effective Tax Rate,18.76%,18.76%,17.70%,17.70%
