,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,0.14,0.14,0.14,-,0.13
1,Debt / EBITDA Ratio,0.95,1.14,1.14,-,0.77
2,Asset Turnover,1.05,-,-,-,
3,Inventory Turnover,-,5.16,-,-,-
4,Quick Ratio,2.02,2.02,2.02,-,-
5,Current Ratio,2.62,2.62,2.62,-,-
6,Return on Equity (ROE),9.80%,-,-,-,
7,Return on Assets (ROA),4.56%,-,-,-,
8,Return on Capital (ROIC),6.11%,-,-,-,
9,Return on Capital Employed (ROCE),12.28%,11.09%,8.44%,-,-
