,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,209.79,209.79,-,-
1,Trading Asset Securities,8.02,8.02,-,-
2,Cash & Short-Term Investments,217.81,217.81,-,330.31
3,Accounts Receivable,146.01,146.01,-,-
4,Other Receivables,4.02,4.02,-,-
5,Receivables,150.03,150.03,-,-
6,Inventory,52.71,52.71,-,-
7,Prepaid Expenses,0.02,0.02,-,-
8,Other Current Assets,55.88,55.88,-,-
9,Total Current Assets,476.44,476.44,-,-
10,"Property, Plant & Equipment",6.59,6.59,-,-
11,Long-Term Investments,32.37,32.37,-,-
12,Other Intangible Assets,31.1,31.1,-,-
13,Long-Term Deferred Tax Assets,1.93,1.93,-,-
14,Long-Term Deferred Charges,4.42,4.42,-,-
15,Other Long-Term Assets,36.0,36.0,-,-
16,Total Assets,588.84,588.84,-,-
17,Accounts Payable,51.89,51.89,-,-
18,Accrued Expenses,9.32,9.32,-,-
19,Short-Term Debt,53.72,53.72,-,-
20,Current Portion of Leases,1.41,1.41,-,-
21,Current Income Taxes Payable,1.24,1.24,-,-
22,Current Unearned Revenue,59.94,59.94,-,-
23,Other Current Liabilities,4.63,4.63,-,-
24,Total Current Liabilities,182.16,182.16,-,-
25,Long-Term Unearned Revenue,22.51,22.51,-,-
26,Long-Term Deferred Tax Liabilities,0.18,0.18,-,-
27,Total Liabilities,204.85,204.85,-,-
28,Common Stock,0.04,0.04,-,-
29,Comprehensive Income & Other,384.12,384.12,-,-
30,Total Common Equity,384.16,384.16,-,306.73
31,Minority Interest,-0.17,-0.17,-,-
32,Shareholders' Equity,383.99,383.99,-,311.41
33,Total Liabilities & Equity,588.84,588.84,-,-
34,Total Debt,55.13,55.13,-,39.93
35,Net Cash (Debt),162.68,162.68,-,290.39
36,Net Cash Per Share,0.54,0.54,-,0.98
37,Filing Date Shares Outstanding,366.6,366.6,295.56,295.56
38,Total Common Shares Outstanding,303.0,303.0,295.56,295.56
39,Working Capital,294.28,294.28,-,-
40,Book Value Per Share,1.27,1.27,-,1.07
41,Tangible Book Value,353.06,353.06,-,289.97
42,Tangible Book Value Per Share,1.17,1.17,-,1.01
