,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,441,486,381,366,391,481,501,571,524,405,445,Upgrade
1,Market Cap Growth,32.88%,32.88%,-2.56%,-23.96%,-21.98%,-15.72%,-4.38%,40.82%,17.78%,-23.32%,-14.98%,Upgrade
2,Enterprise Value,69,113,16,24,103,231,318,314,267,135,235,Upgrade
3,Last Close Price,0.88,0.93,0.66,0.61,0.62,0.75,0.75,0.84,0.74,0.56,0.59,Upgrade
4,PE Ratio,6.39,7.04,5.61,7.70,12.82,11.66,11.94,10.72,8.29,8.43,11.42,Upgrade
5,PS Ratio,0.36,0.39,0.28,0.32,0.37,0.36,0.35,0.41,0.41,0.35,0.39,Upgrade
6,PB Ratio,0.65,0.71,0.57,0.57,0.61,0.74,0.75,0.89,0.80,0.68,0.73,Upgrade
7,P/TBV Ratio,0.71,0.71,0.57,0.57,0.61,0.74,0.75,0.89,0.80,0.68,0.73,Upgrade
8,P/FCF Ratio,9.90,10.91,7.44,3.43,3.35,8.13,-38.26,-,8.14,5.64,4.45,Upgrade
9,P/OCF Ratio,5.55,5.55,4.15,2.74,2.86,6.21,26.26,-,6.56,4.40,3.48,Upgrade
10,EV/Sales Ratio,0.06,0.09,0.01,0.02,0.10,0.17,0.22,0.22,0.21,0.11,0.20,Upgrade
11,EV/EBITDA Ratio,0.72,1.18,0.16,0.36,1.94,3.21,4.07,2.97,2.25,1.65,3.75,Upgrade
12,EV/EBIT Ratio,0.97,1.59,0.21,0.66,4.70,5.91,7.04,4.30,3.10,2.78,8.20,Upgrade
13,EV/FCF Ratio,1.55,2.53,0.31,0.22,0.88,3.90,-24.28,-,4.15,1.87,2.35,Upgrade
14,Return on Capital Employed (ROCE),10.46%,10.46%,11.15%,5.60%,3.38%,6.03%,6.73%,11.36%,13.14%,8.07%,4.72%,Upgrade
15,Earnings Yield,15.65%,14.20%,17.81%,12.99%,7.80%,8.57%,8.37%,9.33%,12.06%,11.86%,8.76%,Upgrade
16,FCF Yield,10.10%,9.17%,13.45%,29.14%,29.87%,12.30%,-2.61%,4.26%,12.29%,17.74%,22.46%,Upgrade
17,Dividend Yield,9.09%,8.61%,10.58%,11.43%,9.65%,8.02%,8.01%,7.15%,8.08%,10.68%,10.23%,Upgrade
18,Buyback Yield / Dilution,0.00%,-,0.00%,0.06%,0.07%,-0.56%,-1.02%,-0.58%,0.04%,0.27%,0.17%,Upgrade
19,Total Shareholder Return,9.09%,8.61%,10.58%,11.49%,9.72%,7.45%,6.99%,6.57%,8.13%,10.96%,10.40%,Upgrade
