,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Debt / Equity Ratio,-0.01,-0.01,-1.60,-
1,Buyback Yield / Dilution,-9.18%,-5.24%,-,-
2,Total Shareholder Return,-9.18%,-5.24%,-,-
