,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,65,176,142,114,146,173,155,213,283,244,161,Upgrade
1,Market Cap Growth,54.05%,54.05%,-2.74%,-33.93%,-5.79%,-19.04%,-45.00%,-12.63%,76.00%,16.92%,-46.43%,Upgrade
2,Enterprise Value,66,177,144,99,40,137,139,210,268,61,-29,Upgrade
3,Last Close Price,0.04,0.10,0.08,0.07,0.10,0.11,0.12,0.17,0.22,0.19,0.15,Upgrade
4,PE Ratio,5.01,-,9.01,-5.13,-,-,-,-,-,-20.31,-,Upgrade
5,PS Ratio,0.34,0.94,0.61,0.45,0.65,2.80,1.67,2.18,2.77,1.64,2.52,Upgrade
6,PB Ratio,0.24,0.66,0.54,0.49,0.63,0.66,0.59,0.73,0.96,0.83,0.64,Upgrade
7,P/TBV Ratio,0.65,0.65,0.53,0.48,0.62,0.66,0.59,0.74,0.97,0.84,0.65,Upgrade
8,P/FCF Ratio,-,-11.58,-,-,-,-,1.61,111.98,-,-,-,Upgrade
9,P/OCF Ratio,-,-11.58,-,-,-,-,1.61,111.98,-,-,-,Upgrade
10,EV/Sales Ratio,0.35,0.95,0.62,0.39,0.18,2.21,1.49,2.14,2.63,0.41,-,Upgrade
11,EV/EBITDA Ratio,4.38,-,6.93,-4.08,-,-,-,-,-,-17.73,-,Upgrade
12,EV/EBIT Ratio,4.95,-,8.17,-3.46,-,-,-,-,-,-12.96,-,Upgrade
13,EV/FCF Ratio,-,-11.67,-,-,-,-,1.43,110.00,-,-,-,Upgrade
14,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.02,0.00,0.00,0.00,0.00,0.01,Upgrade
15,Debt / FCF Ratio,-,-0.35,-,-,-,-,0.00,0.15,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),4.99%,-,6.57%,-12.10%,-,-,-,-,-,-1.59%,-,Upgrade
17,Earnings Yield,19.36%,7.13%,11.10%,-19.49%,-17.20%,-18.03%,-22.16%,-4.47%,-1.62%,-4.92%,-15.47%,Upgrade
18,FCF Yield,-8.64%,-8.64%,-22.68%,-96.80%,-91.95%,25.53%,62.28%,0.89%,-64.27%,-75.47%,107.77%,Upgrade
19,Buyback Yield / Dilution,-16.45%,-20.00%,-12.90%,-9.47%,-19.97%,-9.62%,-0.03%,-14.37%,-19.96%,-4.92%,-,Upgrade
20,Total Shareholder Return,-16.45%,-20.00%,-12.90%,-9.47%,-19.97%,-9.62%,-0.03%,-14.37%,-19.96%,-4.92%,-,Upgrade
