,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q4 2017,Q4 2016
,Period Ending,"Mar '25 Mar 5, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016"
0,Last Close Price,3300.00,3400.00,3900.00,19100.00,5700.00
1,Debt / Equity Ratio,-,-,-,0.06,-
2,Quick Ratio,9.56,11.28,14.41,9.59,2.92
3,Current Ratio,10.57,12.48,15.63,10.41,4.04
4,Return on Capital Employed (ROCE),1.28%,-19.72%,-,-,-
