Stock Symbol,Date,Stock Price
000623,2024-09-30,17.14
000623,2024-06-30,12.66
000623,2024-03-31,13.66
000623,2023-12-31,14.3
000623,2023-09-30,16.3
000623,2023-06-30,14.86
000623,2023-03-31,14.19
000623,2022-12-31,13.89
000623,2022-09-30,12.4
000623,2022-06-30,13.68
000623,2022-03-31,16.09
000623,2021-12-31,16.78
000623,2021-09-30,15.3
000623,2021-06-30,13.89
000623,2021-03-31,14.28
000623,2020-12-31,14.77
000623,2020-09-30,14.99
000623,2020-06-30,13.95
000623,2020-03-31,14.0
000623,2019-12-31,14.66
