,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,64,113,117,109,96,122,133,105,89,59,85,Upgrade
1,Market Cap Growth,2.86%,2.86%,21.62%,-10.64%,-27.45%,16.29%,49.27%,79.63%,5.13%,-24.81%,26.18%,Upgrade
2,Enterprise Value,-41,9,16,-0,20,19,34,-1,-13,-24,14,Upgrade
3,Last Close Price,0.20,0.36,0.38,0.42,0.37,0.47,0.51,0.48,0.41,0.27,0.39,Upgrade
4,PE Ratio,5.04,9.63,20.47,9.79,9.94,22.58,29.14,49.14,-,12.67,-,Upgrade
5,PS Ratio,0.42,0.80,0.77,0.69,0.75,1.04,1.04,0.78,0.64,0.43,0.58,Upgrade
6,PB Ratio,0.36,0.63,0.71,0.78,0.72,0.95,1.00,0.93,0.83,0.89,1.60,Upgrade
7,P/TBV Ratio,0.63,0.63,0.71,0.78,0.72,0.95,1.00,0.93,0.83,0.89,1.60,Upgrade
8,P/FCF Ratio,-,-12.76,-,3.45,-16.44,-,-20.09,-,-,1.44,4.16,Upgrade
9,P/OCF Ratio,37.27,37.27,-,2.53,30.49,-,13.02,-,-,1.18,2.96,Upgrade
10,EV/Sales Ratio,0.06,0.06,0.10,-,0.16,0.16,0.26,-,-,-,0.10,Upgrade
11,EV/EBITDA Ratio,0.65,0.65,-,-,-,2.11,3.11,-,-,-,-,Upgrade
12,EV/EBIT Ratio,2.27,2.27,-,-,-,12.75,12.67,-,-,-,-,Upgrade
13,EV/FCF Ratio,4.67,-1.03,-,-,-3.42,-,-5.10,-,-,-,0.69,Upgrade
14,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.03,0.11,0.25,0.24,Upgrade
15,Debt / FCF Ratio,-,-0.82,-,0.17,-0.85,-,-0.77,-,-,0.41,0.62,Upgrade
16,Return on Capital Employed (ROCE),2.20%,2.20%,-,7.95%,-,1.16%,1.96%,3.09%,4.62%,-4.70%,-,Upgrade
17,Earnings Yield,18.32%,10.38%,4.88%,10.22%,10.06%,4.43%,3.43%,2.03%,6.39%,7.89%,4.58%,Upgrade
18,FCF Yield,-13.83%,-7.84%,-4.47%,29.03%,-6.08%,-18.86%,-4.98%,-24.64%,3.56%,69.51%,24.07%,Upgrade
19,Buyback Yield / Dilution,-10.76%,-20.00%,-1.53%,-,-15.32%,-20.00%,-4.05%,-,-7.47%,-10.00%,-2.36%,Upgrade
20,Total Shareholder Return,-10.76%,-20.00%,-1.53%,-,-15.32%,-20.00%,-4.05%,-,-7.47%,-10.00%,-2.36%,Upgrade
