,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,29,89,133,153,321,142,130,123,126,101,104,Upgrade
1,Market Cap Growth,-41.63%,-41.63%,-58.60%,7.27%,148.00%,15.79%,2.86%,22.14%,20.69%,162.50%,70.59%,Upgrade
2,Enterprise Value,-149,-99,-17,86,295,76,77,63,73,41,52,Upgrade
3,Last Close Price,0.33,1.26,2.20,2.95,6.20,3.30,3.00,2.85,3.50,2.80,2.90,Upgrade
4,PE Ratio,5.05,-,2.48,9.41,-,-,-,-,-30.22,-,-,Upgrade
5,PS Ratio,-1.83,-1.83,95.04,2.22,70.55,-6.52,16.83,8.25,7.41,-7.45,-5.18,Upgrade
6,PB Ratio,0.13,0.50,0.71,1.03,2.71,1.29,0.90,0.70,0.77,0.64,0.63,Upgrade
7,P/TBV Ratio,0.50,0.50,0.71,1.03,2.71,1.29,0.90,0.70,0.77,0.64,0.63,Upgrade
8,P/FCF Ratio,-,-,-,-,-,21.46,-6.49,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,21.46,-6.49,-,-,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,1.25,64.75,-,9.95,-,4.33,-3.02,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,1.37,-186.42,-,-945.12,-,-28.38,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,1.37,-186.30,-,-911.37,-,-28.32,-,-,Upgrade
13,EV/FCF Ratio,-,-,-,-,-,11.50,-3.84,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.08,0.08,0.08,0.10,0.12,0.16,0.15,0.13,0.14,0.14,0.14,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,2.75,-1.09,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,39.41%,-1.20%,-,-0.05%,-,-1.42%,-,-,Upgrade
17,Earnings Yield,13.58%,4.42%,40.24%,10.62%,-14.97%,-41.66%,-22.12%,1.82%,-3.31%,-33.28%,-33.90%,Upgrade
18,FCF Yield,-29.42%,-29.42%,-7.73%,-12.49%,-4.32%,4.66%,-15.40%,-20.59%,-6.62%,-6.65%,-5.39%,Upgrade
19,Buyback Yield / Dilution,-19.19%,-20.87%,-17.49%,-20.00%,-19.46%,-18.17%,-18.62%,-1.55%,-50.40%,-200.00%,-119.65%,Upgrade
20,Total Shareholder Return,-19.19%,-20.87%,-17.49%,-20.00%,-19.46%,-18.17%,-18.62%,-1.55%,-50.40%,-200.00%,-119.65%,Upgrade
