,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 6, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,297,506,795,1146,1146,944,910,2178,1112,1180,1106,Upgrade
1,Market Cap Growth,-63.77%,-55.88%,-30.59%,21.43%,25.93%,-56.66%,-18.18%,84.57%,0.61%,-22.20%,-25.45%,Upgrade
2,Enterprise Value,284,440,747,1061,2092,1144,-1054,996,-501,533,1273,Upgrade
3,Last Close Price,0.44,0.75,1.18,1.70,1.70,1.40,1.35,3.20,1.63,1.62,1.52,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,15.08,6.05,16.31,-,Upgrade
5,Forward PE,-,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,Upgrade
6,PS Ratio,0.29,0.49,0.61,1.64,-,0.32,-,0.29,0.18,0.45,-,Upgrade
7,PB Ratio,0.20,0.34,0.49,0.59,0.51,0.29,0.22,0.45,0.23,0.26,0.25,Upgrade
8,P/TBV Ratio,0.35,0.35,0.50,0.59,0.52,0.40,0.33,0.66,0.34,0.38,0.36,Upgrade
9,P/FCF Ratio,-,-,-,27.73,-,-,-,5.67,1.50,1.86,-,Upgrade
10,P/OCF Ratio,-,-,-,27.73,-,-,-,4.84,1.38,1.86,-,Upgrade
11,EV/Sales Ratio,0.28,0.43,0.57,1.52,-,0.38,-,0.13,-,0.20,-,Upgrade
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,2.56,-,1.95,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-,-,-,-,2.96,-,2.21,-,Upgrade
14,EV/FCF Ratio,-3.60,-,-,25.68,-,-,-,2.59,-,0.84,-,Upgrade
15,Debt / Equity Ratio,0.13,0.13,0.14,0.14,0.14,0.15,0.19,0.13,0.14,0.13,0.16,Upgrade
16,Debt / FCF Ratio,-,-,-,6.49,-,-,-,1.62,0.93,0.90,-,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,6.36%,9.71%,5.18%,-,Upgrade
18,Earnings Yield,-167.63%,-98.35%,-66.74%,-13.23%,-,-51.62%,-,6.63%,16.54%,6.13%,-,Upgrade
19,FCF Yield,-26.57%,-15.59%,0.67%,3.61%,-,-13.32%,-,17.63%,66.47%,53.63%,-,Upgrade
20,Dividend Yield,0.00%,-,-,-,-,-,-,0.94%,3.06%,1.54%,-,Upgrade
21,Buyback Yield / Dilution,-0.00%,-,-,0.00%,-,-,-,-,-,-0.92%,-,Upgrade
22,Total Shareholder Return,-0.00%,-,-,0.00%,-,-,-,0.94%,3.06%,0.62%,-,Upgrade
