,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+14 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+14 Quarters
31,Long-Term Unearned Revenue,-,1.56,1.73,1.9,1.97,1.97,1.13,1.25,1.37,1.5,1.62,1.87,1.87,2.36,2.36,-,2.36,2.88,2.88,2.88,Upgrade
32,Long-Term Deferred Tax Liabilities,-,67.45,70.18,74.8,75.83,56.81,34.72,14.05,27.69,5.85,6,5.12,5.3,0.54,0.5,-,0.5,-,-,-,Upgrade
33,Other Long-Term Liabilities,-,44.56,32.36,25.24,20.64,17.2,10.15,5.29,12.23,15.77,13.95,11.43,11.87,13.69,11.39,-,7.43,6.65,5.31,3.99,Upgrade
34,Total Liabilities,-,10002,10782,11437,11873,11031,8370,6819,5933,5069,4121,3479,2854,2490,2196,-,1890,1841,1424,1026,Upgrade
35,Common Stock,-,314.43,314.43,224.09,224.81,154.83,154.83,154.47,154.47,106.37,98.67,98.67,98.67,98.67,98.67,-,98.67,98.67,98.67,74,Upgrade
36,Additional Paid-In Capital,-,1319,1307,1359,1409,1425,1481,1432,1418,1425,890.91,879.08,865.25,858.87,858.87,-,858.71,853,847,359.4,Upgrade
37,Retained Earnings,-,2730,2330,2342,2009,1604,1276,1218,999.02,760.14,584.87,550.4,443.74,300.8,215.73,-,132.22,46.28,54.57,26.51,Upgrade
38,Treasury Stock,-,-74.57,-74.57,-74.57,-143.16,-76.65,-149.85,-149.85,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
39,Comprehensive Income & Other,-,171.38,167.14,165.91,164.67,160.94,4.19,-,-,-,-,0.08,0.08,-,-,-,-,1.16,1.16,1.16,Upgrade
40,Total Common Equity,4460,4460,4044,4016,3664,3268,2766,2654,2572,2292,1574,1528,1408,1258,1173,1090,1090,999.11,1001,461.06,Upgrade
41,Minority Interest,-,171.38,121.16,112.17,79.83,95.91,46.29,38.11,17.75,14.55,19.76,20.32,20.27,16.47,19.6,-,-,-,0.66,0.69,Upgrade
42,Shareholders' Equity,4632,4632,4165,4128,3744,3364,2812,2692,2590,2306,1594,1549,1428,1275,1193,1090,1090,999.11,1002,461.75,Upgrade
43,Total Liabilities & Equity,-,14633,14947,15565,15617,14395,11182,9511,8522,7375,5716,5027,4282,3765,3389,-,2980,2840,2426,1488,Upgrade
