Stock Symbol,Date,Stock Price
603260,2024-09-30,60.03
603260,2024-06-30,46.03
603260,2024-03-31,48.54
603260,2023-12-31,50.26
603260,2023-09-30,59.53
603260,2023-06-30,69.0
603260,2023-03-31,80.8
603260,2022-12-31,80.73
603260,2022-09-30,106.64
603260,2022-06-30,114.82
603260,2022-03-31,100.35
603260,2021-12-31,126.55
603260,2021-09-30,172.11
603260,2021-06-30,73.75
603260,2021-03-31,42.47
603260,2020-12-31,31.91
603260,2020-09-30,26.96
603260,2020-06-30,26.09
603260,2020-03-31,23.28
603260,2019-12-31,27.87
