Stock Symbol,Date,Stock Price
603303,2024-09-30,12.23
603303,2024-06-30,11.48
603303,2024-03-31,12.75
603303,2023-12-31,12.51
603303,2023-09-30,13.35
603303,2023-06-30,13.45
603303,2023-03-31,14.95
603303,2022-12-31,18.61
603303,2022-09-30,14.37
603303,2022-06-30,14.67
603303,2022-03-31,11.44
603303,2021-12-31,15.94
603303,2021-09-30,14.36
603303,2021-06-30,14.63
603303,2021-03-31,11.23
603303,2020-12-31,9.67
603303,2020-09-30,11.87
603303,2020-06-30,9.76
603303,2020-03-31,7.89
603303,2019-12-31,9.18
