Stock Symbol,Date,Stock Price
002318,2024-09-30,22.8
002318,2024-06-30,23.33
002318,2024-03-31,21.79
002318,2023-12-31,19.5
002318,2023-09-30,18.93
002318,2023-06-30,16.7
002318,2023-03-31,14.69
002318,2022-12-31,15.89
002318,2022-09-30,15.47
002318,2022-06-30,15.27
002318,2022-03-31,13.71
002318,2021-12-31,16.64
002318,2021-09-30,13.04
002318,2021-06-30,11.19
002318,2021-03-31,11.59
002318,2020-12-31,9.83
002318,2020-09-30,7.69
002318,2020-06-30,6.57
002318,2020-03-31,6.41
002318,2019-12-31,8.1
