,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Feb '25 Feb 20, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,252,254,1197,1564,1890,2093,3685,5185,1877,2490,2107,Upgrade
1,Market Cap Growth,-83.74%,-83.74%,-36.65%,-25.26%,-48.71%,-59.64%,96.31%,108.22%,-10.91%,59.82%,9.88%,Upgrade
2,Enterprise Value,909,976,1818,2315,3397,3338,4860,6526,2622,3158,2345,Upgrade
3,Last Close Price,1.31,1.72,9.36,12.48,15.08,16.81,29.81,41.95,16.99,22.53,19.05,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-13.51,-,67.84,187.51,Upgrade
5,PS Ratio,0.29,0.49,2.16,2.38,2.78,3.23,5.73,8.63,3.12,3.54,3.45,Upgrade
6,PB Ratio,0.26,0.34,1.58,1.68,2.04,1.79,2.95,4.04,1.89,1.90,1.61,Upgrade
7,P/FCF Ratio,7.45,7.45,25.83,7.16,23.73,-,45.08,-,-45.08,-,-,Upgrade
8,P/OCF Ratio,3.61,3.61,14.48,6.17,16.46,-,35.01,-,-59.39,-,19691.62,Upgrade
9,EV/Sales Ratio,1.74,1.87,3.28,3.52,5.00,5.16,7.56,10.86,4.36,4.48,3.84,Upgrade
10,EV/EBITDA Ratio,69.11,-,-,-44.60,-,-,50.52,55.44,18.99,19.85,24.00,Upgrade
11,EV/EBIT Ratio,-,-,-,-22.14,-,-,103.61,94.55,29.49,26.48,32.08,Upgrade
12,EV/FCF Ratio,26.63,28.60,39.22,10.60,42.64,-,59.45,-,-62.97,-,-,Upgrade
13,Debt / Equity Ratio,1.04,1.04,1.12,0.77,0.95,1.32,1.03,0.94,1.26,0.81,0.72,Upgrade
14,Debt / FCF Ratio,23.02,23.02,18.28,3.30,11.03,-,15.74,-,-30.03,-,-,Upgrade
15,Return on Capital Employed (ROCE),-,-,-,-5.95%,-,-,1.94%,2.81%,3.98%,5.00%,3.15%,Upgrade
16,Earnings Yield,-76.64%,-75.89%,-14.82%,-8.15%,-8.75%,-3.81%,0.14%,-7.40%,-20.32%,1.47%,0.53%,Upgrade
17,FCF Yield,13.56%,13.43%,3.87%,13.96%,4.21%,3.22%,2.22%,1.02%,-2.22%,-7.84%,-0.80%,Upgrade
18,Buyback Yield / Dilution,-5.77%,-10.86%,-0.66%,-1.29%,-1.08%,-11.42%,-11.81%,-0.50%,-11.86%,-27.86%,-14.26%,Upgrade
19,Total Shareholder Return,-5.77%,-10.86%,-0.66%,-1.29%,-1.08%,-11.42%,-11.81%,-0.50%,-11.86%,-27.86%,-14.26%,Upgrade
