,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,-0.12,-0.12,-0.13,-,-0.11
1,Quick Ratio,0.11,0.11,0.16,-,-
2,Current Ratio,0.14,0.14,0.19,-,-
3,Return on Assets (ROA),-40.40%,-,-,-,
