,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,"Selling, General & Admin",18.44,21.66,11.98,10.19
1,Research & Development,73.06,64.7,64.46,54.98
2,Operating Expenses,91.5,86.36,76.44,65.17
3,Operating Income,-91.5,-86.36,-76.44,-65.17
4,Interest Expense,-3.07,-2.36,-2.35,-2.14
5,Interest & Investment Income,0.75,0.44,1.08,1.81
6,Currency Exchange Gain (Loss),-0.02,-,0.14,-
7,Other Non Operating Income (Expenses),-17.89,-19.79,-12.95,-17.36
8,EBT Excluding Unusual Items,-111.73,-108.07,-90.52,-82.86
9,Gain (Loss) on Sale of Investments,-0.02,0.29,-0.12,-0.35
10,Other Unusual Items,-,0,-,-
11,Pretax Income,-111.76,-107.78,-90.64,-83.21
12,Earnings From Continuing Operations,-111.76,-107.78,-90.64,-83.21
13,Minority Interest in Earnings,0.22,0.26,0.1,0.21
14,Net Income,-111.53,-107.52,-90.53,-83.01
15,Net Income to Common,-111.53,-107.52,-90.53,-83.01
16,Shares Outstanding (Basic),323,318,288,288
17,Shares Outstanding (Diluted),323,318,288,288
18,EPS (Basic),-0.35,-0.34,-0.31,-0.29
19,EPS (Diluted),-0.35,-0.34,-0.31,-0.29
20,Free Cash Flow,-52.57,-101.98,-65.32,-88.25
21,Free Cash Flow Per Share,-0.16,-0.32,-0.23,-0.31
22,EBITDA,-87.7,-82.63,-73.04,-62.11
23,D&A For EBITDA,3.8,3.73,3.4,3.07
24,EBIT,-91.5,-86.36,-76.44,-65.17
