,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,0.16,0.16,0.16,-,0.24
1,Debt / EBITDA Ratio,0.48,0.60,0.60,-,0.79
2,Asset Turnover,0.88,-,-,-,
3,Inventory Turnover,-,3.11,-,-,-
4,Quick Ratio,0.58,0.58,0.58,-,-
5,Current Ratio,1.10,1.10,1.10,-,-
6,Return on Equity (ROE),13.99%,-,-,-,
7,Return on Assets (ROA),5.41%,-,-,-,
8,Return on Capital (ROIC),9.94%,-,-,-,
9,Return on Capital Employed (ROCE),19.61%,13.95%,10.35%,-,-
10,Payout Ratio,0.00%,-,-,22.59%,22.59%
