,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,214.58,214.58,-,-
1,Trading Asset Securities,2.11,2.11,-,-
2,Cash & Short-Term Investments,216.69,216.69,-,244.27
3,Accounts Receivable,11.58,11.58,-,-
4,Other Receivables,23.12,23.12,-,-
5,Receivables,52.27,52.27,-,-
6,Inventory,200.69,200.69,-,-
7,Other Current Assets,6.87,6.87,-,-
8,Total Current Assets,476.52,476.52,-,-
9,"Property, Plant & Equipment",220.07,220.07,-,-
10,Long-Term Investments,0.48,0.48,-,-
11,Goodwill,115.92,115.92,-,-
12,Other Intangible Assets,257.45,257.45,-,-
13,Long-Term Accounts Receivable,0.12,0.12,-,-
14,Other Long-Term Assets,10.37,10.37,-,-
15,Total Assets,1081.0,1081.0,-,-
16,Accounts Payable,48.56,48.56,-,-
17,Accrued Expenses,68.11,68.11,-,-
18,Current Portion of Long-Term Debt,15.55,15.55,-,-
19,Current Portion of Leases,3.1,3.1,-,-
20,Current Income Taxes Payable,12.94,12.94,-,-
21,Current Unearned Revenue,44.02,44.02,-,-
22,Other Current Liabilities,240.11,240.11,-,-
23,Total Current Liabilities,432.39,432.39,-,-
24,Long-Term Debt,48.45,48.45,-,-
25,Long-Term Leases,11.82,11.82,-,-
26,Long-Term Unearned Revenue,58.61,58.61,-,-
27,Long-Term Deferred Tax Liabilities,13.74,13.74,-,-
28,Other Long-Term Liabilities,6.93,6.93,-,-
29,Total Liabilities,571.95,571.95,-,-
30,Common Stock,155.48,155.48,-,-
31,Retained Earnings,466.98,466.98,-,-
32,Comprehensive Income & Other,-113.48,-113.48,-,-
33,Shareholders' Equity,508.98,508.98,-,388.73
34,Total Liabilities & Equity,1081.0,1081.0,-,-
35,Total Debt,78.92,78.92,-,94.09
36,Net Cash (Debt),137.77,137.77,-,150.19
37,Net Cash Per Share,0.44,0.44,-,0.48
38,Filing Date Shares Outstanding,310.96,310.96,310.96,310.96
39,Total Common Shares Outstanding,310.96,310.96,310.96,310.96
40,Working Capital,44.13,44.13,-,-
41,Book Value Per Share,1.64,1.64,-,1.25
42,Tangible Book Value,135.61,135.61,-,41.49
43,Tangible Book Value Per Share,0.44,0.44,-,0.13
