,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,820,789,677,830,782,837,976,1327,1004,1150,1548,Upgrade
1,Market Cap Growth,-4.92%,-4.92%,-13.48%,-0.81%,-19.86%,-36.92%,-2.71%,15.38%,-35.16%,-27.31%,-7.71%,Upgrade
2,Enterprise Value,1237,1377,1469,1643,1727,1878,1990,2282,1763,1730,2104,Upgrade
3,Last Close Price,2.41,2.27,1.88,2.27,2.10,2.25,2.58,3.50,2.65,3.04,4.03,Upgrade
4,PE Ratio,3.13,3.02,3.08,7.24,10.25,-10.04,-,-,-,-,-,Upgrade
5,PS Ratio,0.48,0.46,0.39,0.50,0.55,1.00,2.02,2.81,1.51,0.79,0.80,Upgrade
6,PB Ratio,0.26,0.21,0.18,0.23,0.22,0.24,0.28,0.37,0.27,0.28,0.35,Upgrade
7,P/TBV Ratio,0.25,0.25,0.22,0.28,0.27,0.29,0.34,0.44,0.32,0.33,0.42,Upgrade
8,P/FCF Ratio,3.41,3.29,2.27,3.47,2.70,6.63,-,-,-,-,16.53,Upgrade
9,P/OCF Ratio,2.80,2.80,1.96,3.00,2.51,5.68,-,-,-,-,3.61,Upgrade
10,EV/Sales Ratio,0.72,0.80,0.85,0.98,1.21,2.25,4.12,4.83,2.65,1.19,1.08,Upgrade
11,EV/EBITDA Ratio,3.28,4.01,4.08,5.09,6.39,22.76,-,-,-,-,4.91,Upgrade
12,EV/EBIT Ratio,4.96,6.27,6.62,9.01,13.89,-26.91,-,-,-,-,8.04,Upgrade
13,EV/FCF Ratio,5.15,5.73,4.92,6.86,5.95,14.88,-,-,-,-,22.46,Upgrade
14,Debt / Equity Ratio,0.35,0.35,0.40,0.43,0.44,0.44,0.45,0.44,0.43,0.44,0.43,Upgrade
15,Debt / FCF Ratio,5.52,5.52,4.99,6.47,5.34,12.40,-,-,-,-,20.20,Upgrade
16,Return on Capital Employed (ROCE),4.60%,4.60%,4.44%,4.74%,3.27%,-1.45%,-,-,-,-,5.73%,Upgrade
17,Earnings Yield,31.92%,33.16%,32.45%,13.81%,9.75%,-9.96%,-19.94%,-39.04%,-56.06%,-18.85%,0.36%,Upgrade
18,FCF Yield,29.30%,30.44%,44.08%,28.86%,37.08%,15.08%,-4.95%,-12.59%,-28.13%,-4.55%,6.05%,Upgrade
19,Dividend Yield,5.39%,5.73%,5.85%,1.32%,-,-,-,-,-,-,1.98%,Upgrade
20,Total Shareholder Return,5.39%,5.73%,5.85%,1.32%,-,-,-,-,-,-,1.98%,Upgrade
