,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,324,474,373,768,509,412,389,91,99,80,81,Upgrade
1,Market Cap Growth,-38.24%,-38.24%,-26.82%,86.45%,30.87%,353.04%,293.13%,13.59%,22.73%,-38.21%,-61.18%,Upgrade
2,Enterprise Value,314,450,345,738,486,392,380,63,99,89,77,Upgrade
3,Last Close Price,0.43,0.63,0.49,1.02,0.68,0.55,0.53,0.12,0.14,0.13,0.13,Upgrade
4,PE Ratio,-,-,-,-,-,7.09,7.20,3.23,12.54,-,-,Upgrade
5,PS Ratio,13.70,20.06,12.57,22.15,13.70,9.28,7.62,1.73,1.99,1.69,1.65,Upgrade
6,PB Ratio,1.03,1.50,1.10,2.11,1.37,1.04,1.02,0.27,0.30,0.27,0.27,Upgrade
7,P/TBV Ratio,1.50,1.50,1.10,2.11,1.37,1.04,1.02,0.27,0.30,0.27,0.27,Upgrade
8,P/FCF Ratio,-,-,-,-,-,20.88,137.42,-,4.40,8.56,37.09,Upgrade
9,P/OCF Ratio,-,-41.54,-,-,-,19.79,105.87,-,3.89,5.02,10.16,Upgrade
10,EV/Sales Ratio,13.27,19.04,11.65,21.29,13.08,8.83,7.43,1.21,2.00,1.88,1.57,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,7.47,9.70,8.14,7.82,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,11.19,13.26,7.83,10.88,Upgrade
13,EV/FCF Ratio,-25.06,-,-,-,-,19.86,134.10,-,4.42,9.56,35.34,Upgrade
14,Debt / Equity Ratio,0.04,0.04,0.04,0.05,0.06,0.07,0.09,0.12,0.14,0.15,0.16,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,1.41,11.77,-,2.01,4.90,22.05,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,1.56%,2.13%,3.51%,2.14%,Upgrade
17,Earnings Yield,-14.85%,-10.13%,-8.86%,-4.64%,-1.56%,14.11%,13.88%,30.95%,7.98%,-20.07%,-29.83%,Upgrade
18,FCF Yield,-3.87%,-2.64%,-5.12%,-3.12%,-2.55%,4.79%,0.73%,5.83%,22.71%,11.68%,2.70%,Upgrade
19,Buyback Yield / Dilution,-0.32%,-0.07%,-0.57%,4.25%,0.43%,-7.13%,-21.76%,-20.04%,-1.10%,-,0.10%,Upgrade
20,Total Shareholder Return,-0.32%,-0.07%,-0.57%,4.25%,0.43%,-7.13%,-21.76%,-20.04%,-1.10%,-,0.10%,Upgrade
