Stock Symbol,Date,Stock Price
600017,2024-09-30,3.13
600017,2024-06-30,2.67
600017,2024-03-31,2.7033
600017,2023-12-31,2.6838
600017,2023-09-30,2.9278
600017,2023-06-30,2.918
600017,2023-03-31,2.6871
600017,2022-12-31,2.716
600017,2022-09-30,2.6486
600017,2022-06-30,2.9279
600017,2022-03-31,2.7378
600017,2021-12-31,2.6712
600017,2021-09-30,2.6142
600017,2021-06-30,2.5382
600017,2021-03-31,2.7126
600017,2020-12-31,2.7032
600017,2020-09-30,2.5812
600017,2020-06-30,2.3371
600017,2020-03-31,2.2955
600017,2019-12-31,2.7045
