,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,65,371,385,417,368,352,495,567,386,380,671,Upgrade
1,Market Cap Growth,-11.03%,-11.03%,4.69%,18.21%,-25.68%,-37.81%,28.10%,49.16%,-42.38%,-71.33%,-76.67%,Upgrade
2,Enterprise Value,1319,1626,1483,1374,1350,1315,1494,1533,1273,1334,1768,Upgrade
3,PE Ratio,-,-,-,-,-,-,-,7.23,34.83,4.15,5.80,Upgrade
4,PS Ratio,0.10,0.58,0.52,0.41,0.30,0.32,0.45,0.49,0.34,0.31,0.56,Upgrade
5,PB Ratio,0.06,0.24,0.23,0.23,0.19,0.19,0.26,0.29,0.18,0.20,0.35,Upgrade
6,P/FCF Ratio,-,-4.44,-,4.38,3.66,-4.61,-,2.50,1.30,0.61,1.76,Upgrade
7,P/OCF Ratio,8.88,8.88,13.01,1.23,1.07,3.58,2.25,1.27,0.75,0.59,1.67,Upgrade
8,EV/Sales Ratio,2.06,2.54,2.02,1.34,1.11,1.18,1.36,1.33,1.13,1.10,1.49,Upgrade
9,EV/EBITDA Ratio,65.89,-81.41,-,8.11,5.52,5.21,5.27,3.56,2.97,3.49,4.82,Upgrade
10,EV/EBIT Ratio,-,-,-,-,13.89,10.57,9.90,5.27,4.36,5.23,7.34,Upgrade
11,EV/FCF Ratio,-15.79,-19.47,-,14.46,13.42,-17.21,-,6.76,4.28,2.16,4.65,Upgrade
12,Debt / Equity Ratio,0.58,0.58,0.60,0.44,0.40,0.43,0.44,0.45,0.53,0.59,0.62,Upgrade
13,Debt / FCF Ratio,-,-10.77,-,8.28,7.66,-10.60,-,3.95,3.91,1.86,3.09,Upgrade
14,Return on Capital Employed (ROCE),-,-,-,-,4.02%,5.48%,6.51%,12.40%,9.85%,9.26%,8.51%,Upgrade
15,Earnings Yield,-407.64%,-71.73%,-63.22%,-29.13%,-24.25%,-39.07%,-8.89%,13.83%,2.87%,24.09%,17.24%,Upgrade
16,Earnings Yield,-407.64%,-71.73%,-63.22%,-29.13%,-24.25%,-39.07%,-8.89%,13.83%,2.87%,24.09%,17.24%,Upgrade
17,FCF Yield,-128.06%,-22.53%,-24.85%,22.81%,27.34%,-21.68%,9.07%,40.01%,76.94%,162.74%,56.69%,Upgrade
18,Buyback Yield / Dilution,-3.42%,-,-7.07%,-50.00%,-68.10%,-19.99%,-,-,-,-,-,Upgrade
19,Total Shareholder Return,-3.42%,-,-7.07%,-50.00%,-68.10%,-19.99%,-,-,-,-,-,Upgrade
