Stock Symbol,Date,Stock Price
002459,2024-09-30,13.55
002459,2024-06-30,11.2
002459,2024-03-31,16.86
002459,2023-12-31,20.0
002459,2023-09-30,24.69
002459,2023-06-30,40.24
002459,2023-03-31,39.35
002459,2022-12-31,41.23
002459,2022-09-30,43.94
002459,2022-06-30,54.14
002459,2022-03-31,38.5
002459,2021-12-31,45.37
002459,2021-09-30,32.27
002459,2021-06-30,23.9
002459,2021-03-31,14.08
002459,2020-12-31,19.86
002459,2020-09-30,17.27
002459,2020-06-30,9.14
002459,2020-03-31,6.17
002459,2019-12-31,5.45
