,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
30,Long-Term Unearned Revenue,-,-,-,-,-,81860,85092,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,Long-Term Deferred Tax Liabilities,540444,415260,342959,103506,-,-,-,-,-,101596,101596,158739,154517,125535,97841,59380,67825,417999,375479,418123,Upgrade
32,Other Long-Term Liabilities,18147932,17610888,18211199,17016093,15553766,15498565,14631002,13691037,12411605,12039990,11457600,11595506,10982555,10187263,9833054,9039391,8969767,9229016,11844512,11756300,Upgrade
33,Total Liabilities,82593526,77043142,74964202,69776185,71672281,61324803,56352120,54127724,53138670,49938103,45467798,41090662,34799494,34020066,32880376,32868244,30218431,31321654,33399563,33151422,Upgrade
34,Common Stock,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5416113,5431613,5416113,5416113,5416113,5416113,Upgrade
35,Additional Paid-In Capital,247483,247483,247483,247483,247483,247483,247483,247483,247483,247483,247483,247483,247483,247483,247483,245949,245949,245949,245949,245949,Upgrade
36,Retained Earnings,10675302,10651936,10363687,9785708,9249524,9235815,9154052,9191140,9018934,11465789,11425141,11525795,11281433,11402930,11330927,11332950,11589251,10595443,11593809,10531269,Upgrade
37,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2347121,-2347121,-2347121,-2347121,-2347121,Upgrade
38,Comprehensive Income & Other,569157,383655,738836,578467,318761,318714,33384,273472,195329,379659,91104,-97970,-110730,-150280,-31594,-32925,73551,69358,81279,-94856,Upgrade
39,Total Common Equity,16908055,16699187,16766119,16027771,15231882,15218125,14851033,15128209,14877859,17509044,17179842,17091421,16834299,16916246,16962929,14630466,14977743,13979742,14990029,13751354,Upgrade
40,Minority Interest,22098,24021,24900,24215,21258,-4428,21872,20958,20436,23037,21141,19912,19912,12366,12591,-900.3,655.83,3025,2917,2357,Upgrade
41,Shareholders' Equity,16930153,16723208,16791020,16051986,15253140,15213697,14872905,15149168,14898295,17532081,17200982,17111333,16854210,16928613,16975520,14629566,14978399,13982768,14992946,13753712,Upgrade
42,Total Liabilities & Equity,99523679,93766349,91755222,85828171,86925421,76538500,71225024,69276892,68036964,67470184,62668781,58201995,51653704,50948679,49855896,47497810,45196830,45304421,48392509,46905133,Upgrade
43,Total Debt,43614016,37679837,35265062,30827036,30810833,23297422,18930814,18803594,18859648,19441673,18788436,19540254,15460312,13471397,11388760,11067269,11441856,10428011,9830759,10393050,Upgrade
44,Net Cash (Debt),-35229198,-32946046,-30255111,-26987361,-25146746,-20661804,-16236904,-16311449,-16313610,-17369403,-15121220,-15083737,-12732583,-11118177,-9107598,-7731027,-7911431,-7710235,-6423186,-7633765,Upgrade
45,Net Cash Per Share,-64832.23,-60809.94,-55879.44,-49827.91,-46442.56,-38116.49,-30207.80,-30116.52,-30117.91,-32048.74,-27960.27,-27808.65,-23762.69,-20893.80,-17391.63,-14541.33,-15102.80,-14718.72,-12284.23,-14546.14,Upgrade
46,Filing Date Shares Outstanding,543.39,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,523.84,523.84,523.84,523.84,523.84,Upgrade
47,Total Common Shares Outstanding,543.39,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,541.61,523.84,523.84,523.84,523.84,523.84,Upgrade
48,Working Capital,8535821,4546583,4738345,3370272,1965493,4313310,1646673,4045328,3170154,13429703,11294209,18687001,11344552,9074588,5899594,5198782,5548970,2588348,7265956,4975040,Upgrade
49,Book Value Per Share,31115.86,30832.42,30956.00,29592.75,28123.27,28097.87,27420.09,27931.86,27469.62,32327.69,31719.87,31556.62,31081.88,31233.18,31319.38,27929.34,28592.29,26687.12,28615.74,26251.13,Upgrade
50,Tangible Book Value,16852690,16641117,16705611,15964419,15184582,15169042,14800032,15076987,14849473,17498537,17172699,17084127,16826201,16914793,16961244,14628728,14976672,13978427,14988454,13749443,Upgrade
51,Tangible Book Value Per Share,31013.97,30725.20,30844.28,29475.78,28035.94,28007.25,27325.93,27837.28,27417.21,32308.29,31706.68,31543.15,31066.93,31230.50,31316.27,27926.02,28590.24,26684.61,28612.73,26247.48,Upgrade
52,Buildings,413682,411402,411402,411272,411126,408798,408798,408554,408554,896814,387463,-,387463,-,-,-,-,-,-,-,Upgrade
53,Machinery,8707593,4309179,5390178,4874379,4227767,5733443,5714531,5714239,5704979,564210,1121876,-,1123726,1097012,1126525,1094520,1123924,1093368,967509,1688756,Upgrade
54,Construction In Progress,3545356,576151,475547,436739,380635,334104,316390,323770,308750,599756,551294,508113,500761,868188,881587,830990,804241,785341,738284,1355314,Upgrade
