,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,73,106,136,133,138,106,116,136,128,123,144,Upgrade
1,Market Cap Growth,-20.75%,-20.75%,-1.82%,26.19%,19.57%,-22.22%,-9.80%,10.20%,-10.53%,-46.74%,-61.22%,Upgrade
2,Enterprise Value,718,664,667,584,585,573,593,634,721,792,722,Upgrade
3,Last Close Price,0.03,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.05,Upgrade
4,PE Ratio,-,-,-,-,27.55,-,-,-,-,-,-,Upgrade
5,Forward PE,-,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,11.98,Upgrade
6,PS Ratio,0.13,0.19,0.23,0.25,0.29,0.23,0.23,0.25,0.25,0.18,0.14,Upgrade
7,PB Ratio,0.46,0.67,0.67,0.74,0.69,0.55,0.58,0.75,0.65,0.46,0.41,Upgrade
8,P/TBV Ratio,0.67,0.67,0.67,0.74,0.69,0.55,0.58,0.75,0.65,0.46,0.41,Upgrade
9,P/FCF Ratio,2.80,-,1.79,1.41,1.25,1.16,1.14,0.81,0.63,0.64,1.19,Upgrade
10,P/OCF Ratio,3.66,-,1.66,1.34,1.23,1.14,1.13,0.80,0.61,0.61,1.11,Upgrade
11,EV/Sales Ratio,1.32,1.22,1.14,1.09,1.24,1.26,1.19,1.15,1.39,1.18,0.69,Upgrade
12,EV/EBITDA Ratio,14.76,-,-,-118.42,-,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-58.96,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,27.56,-,8.79,6.19,5.29,6.29,5.83,3.75,3.52,4.13,6.01,Upgrade
15,Debt / Equity Ratio,4.15,4.15,2.79,3.04,2.44,2.38,2.39,2.83,2.77,2.38,1.96,Upgrade
16,Debt / FCF Ratio,25.22,-,7.47,5.78,4.42,5.01,4.70,3.05,2.66,3.32,5.79,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-3.59%,-,-,-,-,-,-,-,Upgrade
18,Earnings Yield,-120.34%,-83.09%,-29.45%,3.96%,3.63%,-30.41%,-46.07%,-85.17%,-143.97%,-192.54%,-180.07%,Upgrade
19,FCF Yield,35.70%,24.65%,55.80%,70.70%,79.88%,86.11%,87.78%,124.21%,159.54%,155.56%,83.74%,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.40%,Upgrade,
21,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-0.40%,Upgrade,
