,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1697,1157,1105,1439,1542,1697,1774,2185,2056,2185,1876,Upgrade
1,Market Cap Growth,-19.64%,-19.64%,-28.33%,-15.15%,-13.04%,-22.35%,-13.75%,0%,9.59%,70.00%,14.06%,Upgrade
2,Enterprise Value,3222,1748,2362,3610,3560,2110,1744,3594,2047,2091,2696,Upgrade
3,Last Close Price,0.66,0.45,0.39,0.50,0.49,0.54,0.52,0.64,0.57,0.61,0.50,Upgrade
4,PE Ratio,4.71,3.21,3.07,4.05,4.22,4.21,4.29,5.73,5.95,7.94,6.49,Upgrade
5,PS Ratio,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,Upgrade
6,PB Ratio,0.60,0.41,0.39,0.56,0.59,0.66,0.66,0.91,0.89,1.15,0.99,Upgrade
7,P/TBV Ratio,0.41,0.41,0.40,0.57,0.59,0.66,0.67,0.92,0.90,1.16,1.00,Upgrade
8,P/FCF Ratio,-,-,-,-,-0.73,-,3.86,-,-0.91,-,-1.38,Upgrade
9,P/OCF Ratio,-,-,-,-,-0.73,-,3.84,-,-0.91,-,-1.39,Upgrade
10,EV/Sales Ratio,0.08,0.04,0.06,0.10,0.09,0.05,0.04,0.08,0.05,0.06,0.09,Upgrade
11,EV/EBITDA Ratio,5.40,2.99,4.15,5.84,6.01,3.58,2.82,6.74,4.14,4.77,6.05,Upgrade
12,EV/EBIT Ratio,5.53,3.00,4.16,5.85,6.03,3.60,2.83,6.78,4.17,4.82,6.11,Upgrade
13,EV/FCF Ratio,-0.90,-,-,-,-1.68,-,3.79,-,-0.91,-,-1.98,Upgrade
14,Debt / Equity Ratio,0.94,0.94,0.64,0.92,0.98,0.84,0.45,0.54,0.96,0.66,0.53,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-1.22,-,2.59,-,-0.98,-,-0.74,Upgrade
16,Return on Capital Employed (ROCE),20.47%,20.47%,20.14%,24.05%,22.42%,22.73%,22.96%,22.08%,21.22%,22.69%,23.21%,Upgrade
17,Earnings Yield,21.25%,31.17%,32.62%,24.67%,23.72%,23.76%,23.30%,17.47%,16.80%,12.60%,15.41%,Upgrade
18,FCF Yield,-211.80%,-310.64%,-265.09%,-150.78%,-137.44%,-69.39%,25.94%,-30.47%,-109.49%,-101.95%,-72.43%,Upgrade
19,Dividend Yield,7.58%,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,7.58%,-,-,-,-,-,-,-,-,-,-,Upgrade
