,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 27, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,352,637,573,338,355,382,531,722,764,828,711,Upgrade
1,Market Cap Growth,88.68%,88.68%,61.68%,-11.67%,-33.20%,-47.06%,-30.56%,-12.82%,7.45%,8.28%,-26.40%,Upgrade
2,Enterprise Value,205,341,298,53,73,225,541,720,1004,1493,118,Upgrade
3,Last Close Price,0.17,0.23,0.20,0.12,0.13,0.14,0.19,0.26,0.27,0.29,0.25,Upgrade
4,PE Ratio,-,-,-,-,-,15.08,85.29,-,-8.22,-,5.69,Upgrade
5,PS Ratio,0.21,0.38,0.45,0.36,0.38,0.41,0.65,0.35,0.12,0.06,0.04,Upgrade
6,PB Ratio,0.27,0.50,0.44,0.25,0.25,0.27,0.37,0.51,0.54,0.59,0.47,Upgrade
7,P/TBV Ratio,0.50,0.50,0.44,0.25,0.25,0.27,0.37,0.51,0.54,0.60,0.48,Upgrade
8,P/FCF Ratio,-,-,-13.99,-,2.68,1.35,2.69,3.85,1.11,-1.13,-,Upgrade
9,P/OCF Ratio,3.14,3.14,3.53,5.25,1.87,1.06,2.15,3.22,1.08,-1.13,-,Upgrade
10,EV/Sales Ratio,0.12,0.20,0.24,0.06,0.08,0.24,0.67,0.35,0.15,0.11,0.01,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-18.89,-,0.78,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,0.91,Upgrade
13,EV/FCF Ratio,-7.76,-,-7.27,-,0.55,0.80,2.74,3.84,1.46,-2.03,-,Upgrade
14,Debt / Equity Ratio,0.26,0.26,0.12,0.04,0.00,0.00,0.00,0.10,0.10,0.24,0.67,Upgrade
15,Debt / FCF Ratio,-,-,-3.94,-,0.03,0.01,0.01,0.76,0.21,-0.46,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,7.85%,Upgrade
17,Earnings Yield,-26.65%,-14.74%,-16.64%,-5.28%,1.74%,6.63%,1.17%,0.03%,-12.17%,-2.61%,17.58%,Upgrade
18,FCF Yield,-7.50%,-4.15%,-7.15%,-3.92%,37.34%,73.92%,37.18%,25.94%,90.22%,-88.64%,-101.01%,Upgrade
19,Dividend Yield,96.39%,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-0.01%,0.01%,0.06%,0.04%,0.66%,Upgrade,
21,Total Shareholder Return,96.39%,-,-,-,-,-,-0.01%,0.01%,0.06%,0.04%,0.66%,Upgrade
