,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Oct '24 Oct 30, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,340,980,1069,1076,1251,-
1,Market Cap Growth,-8.95%,-8.95%,-14.60%,-,-,-
2,Enterprise Value,340,978,1065,1066,-,-
3,Last Close Price,9.46,7.83,8.54,8.60,10.00,-
4,PB Ratio,-7.68,-7.68,-8.79,-11.03,-10.77,-
5,Earnings Yield,-26.99%,-9.38%,-5.44%,-15.23%,-11.11%,-
6,FCF Yield,-0.28%,-0.28%,-0.37%,-0.45%,-0.19%,-
7,Buyback Yield / Dilution,-,-367.77%,-234.47%,-,-,
8,Total Shareholder Return,-,-367.77%,-234.47%,-,-,
