,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
31,Shareholders' Equity,8182835,8121214,8717722,8437021,8099376,8003645,8399584,8118034,7859028,7706847,8205022,8064079,7839963,7280335,7586691,7340873,7219158,6982450,7314013,7191830,Upgrade
32,Total Liabilities & Equity,31766864,33539266,31235905,30694505,26942679,28410395,28391108,27402089,26123593,25900707,26505783,26092178,24282101,23678422,24066054,23153608,22289128,23042102,22650311,23603186,Upgrade
33,Filing Date Shares Outstanding,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,223.52,223.52,223.52,223.52,223.52,223.52,231.11,Upgrade
34,Total Common Shares Outstanding,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,234.24,223.52,223.52,223.52,223.52,223.52,223.52,231.11,Upgrade
35,Total Debt,200000,1142776,934164,882825,-,729438,819208,610593,28998,389779,723314,453571,224192,224678,227121,227121,-,-,-,-,Upgrade
36,Net Cash (Debt),188793,-519802,-320658,44719,877163,270742,821156,345640,1394602,411697,-20804,1410120,790843,927153,1411527,949554,1143601,939080,904740,731444,Upgrade
37,Net Cash Growth,-78.48%,-,-,-87.06%,-37.10%,-34.24%,-,-75.49%,76.34%,-55.60%,-,48.50%,-30.85%,-1.27%,56.01%,29.82%,138.21%,-15.25%,9.52%,31.26%,Upgrade
38,Net Cash Per Share,797.51,-2192.05,-1352.44,193.28,3698.43,1141.65,3506.73,1493.62,5953.68,1681.95,-84.95,6301.91,3212.03,3940.20,6314.17,4485.36,8987.42,4010.94,3805.97,3335.73,Upgrade
39,Book Value Per Share,33399.18,33175.39,35714.65,34559.95,33166.96,32692.20,34696.40,33548.59,32458.03,31758.47,33920.00,33299.32,32397.24,31412.42,32768.19,31730.47,31052.04,30039.62,31556.37,30050.33,Upgrade
40,Tangible Book Value,7765186,7711827,8305506,8030729,7699774,7584881,8050368,7776992,7517173,7348724,7902690,7756907,7545163,6966698,7279569,7045792,6892212,6664343,7000726,6889003,Upgrade
41,Tangible Book Value Per Share,33150.29,32922.50,35456.97,34283.92,32871.04,32380.55,34367.76,33200.69,32091.50,31372.38,33737.31,33114.95,32210.99,31168.32,32568.07,31522.18,30835.08,29815.61,31320.56,29808.46,Upgrade
42,Buildings,290804,290804,290804,290804,290804,291236,291236,291236,291236,291236,291193,291193,291193,291193,291193,291193,291264,290998,290998,290998,Upgrade
43,Machinery,328733,346892,351756,344555,338564,327586,309340,302866,297865,288101,284637,286065,285418,287378,281363,276311,277531,276317,252872,240980,Upgrade
44,Construction In Progress,203.39,-,-,-,-,-,-,-,-,-,381.13,381.13,381.13,381.13,381.13,381.13,385.95,2207,766.99,1520,Upgrade
