,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,346.09,346.09,-,-
1,Cash & Short-Term Investments,346.09,346.09,-,123.82
2,Accounts Receivable,372.4,372.4,-,-
3,Other Receivables,12.04,12.04,-,-
4,Receivables,384.45,384.45,-,-
5,Inventory,4.63,4.63,-,-
6,Other Current Assets,17.31,17.31,-,-
7,Total Current Assets,752.47,752.47,-,-
8,"Property, Plant & Equipment",16.82,16.82,-,-
9,Long-Term Investments,24.55,24.55,-,-
10,Other Intangible Assets,0.06,0.06,-,-
11,Long-Term Deferred Tax Assets,10.72,10.72,-,-
12,Other Long-Term Assets,1.43,1.43,-,-
13,Total Assets,806.04,806.04,-,-
14,Accounts Payable,244.07,244.07,-,-
15,Accrued Expenses,37.32,37.32,-,-
16,Current Portion of Leases,0.5,0.5,-,-
17,Current Income Taxes Payable,9.34,9.34,-,-
18,Current Unearned Revenue,19.46,19.46,-,-
19,Other Current Liabilities,117.18,117.18,-,-
20,Total Current Liabilities,427.88,427.88,-,-
21,Long-Term Leases,0.13,0.13,-,-
22,Long-Term Unearned Revenue,2.0,2.0,-,-
23,Total Liabilities,430.01,430.01,-,-
24,Common Stock,160.0,160.0,-,-
25,Additional Paid-In Capital,42.0,42.0,-,-
26,Retained Earnings,174.03,174.03,-,-
27,Shareholders' Equity,376.03,376.03,-,185.68
28,Total Liabilities & Equity,806.04,806.04,-,-
29,Total Debt,0.64,0.64,-,0.18
30,Net Cash (Debt),345.45,345.45,-,123.64
31,Net Cash Per Share,2.66,2.66,-,1.03
32,Filing Date Shares Outstanding,160.0,160.0,120,120
33,Total Common Shares Outstanding,160.0,160.0,120,120
34,Working Capital,324.59,324.59,-,-
35,Book Value Per Share,2.35,2.35,-,1.55
36,Tangible Book Value,375.97,375.97,-,185.58
37,Tangible Book Value Per Share,2.35,2.35,-,1.55
