,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,469.54,533.17,-
1,Short-Term Investments,2.23,2.34,-
2,Trading Asset Securities,11.21,34.94,-
3,Cash & Short-Term Investments,482.98,570.44,-
4,Accounts Receivable,259.53,168.38,-
5,Other Receivables,69.29,45.22,-
6,Receivables,328.81,213.6,-
7,Inventory,7.93,9.54,-
8,Restricted Cash,-,20.93,-
9,Other Current Assets,19.57,29.68,-
10,Total Current Assets,839.29,844.18,-
11,"Property, Plant & Equipment",83.38,76.8,-
12,Long-Term Investments,109.69,196.77,-
13,Goodwill,151.99,151.99,-
14,Other Intangible Assets,158,83.68,-
15,Long-Term Deferred Tax Assets,5.82,4.26,-
16,Other Long-Term Assets,7.21,20.08,-
17,Total Assets,1355,1378.0,-
18,Accounts Payable,89.6,86.56,-
19,Accrued Expenses,113.35,179.27,-
20,Short-Term Debt,2.79,2.75,-
21,Current Portion of Long-Term Debt,7837,7165.0,-
22,Current Portion of Leases,27.42,25.43,-
23,Current Income Taxes Payable,0.23,0.0,-
24,Current Unearned Revenue,78.6,91.29,-
25,Other Current Liabilities,122.95,243.48,-
26,Total Current Liabilities,8272,7794.0,-
27,Long-Term Debt,115.4,320.68,-
28,Long-Term Leases,9.23,15.16,-
29,Long-Term Deferred Tax Liabilities,11.66,12.5,-
30,Other Long-Term Liabilities,1.01,0.96,-
31,Total Liabilities,8409,8143.0,-
32,Common Stock,0.32,0.32,-
33,Retained Earnings,-6832,-6597.0,-
34,Comprehensive Income & Other,-305.87,-267.83,-
35,Total Common Equity,-7138,-6865.0,-
36,Minority Interest,84.18,99.7,-
37,Shareholders' Equity,-7054,-6765.0,-
38,Total Liabilities & Equity,1355,1378.0,-
39,Total Debt,7992,7529.0,-
40,Net Cash (Debt),-7509,-6958.0,-
41,Net Cash Per Share,-14.30,-13.25,-
42,Filing Date Shares Outstanding,525.15,525.15,525.15
43,Total Common Shares Outstanding,525.15,525.15,525.15
44,Working Capital,-7432,-6949.0,-
45,Book Value Per Share,-13.59,-13.07,-
46,Tangible Book Value,-7448,-7101.0,-
47,Tangible Book Value Per Share,-14.18,-13.52,-
48,Buildings,19.68,5.46,-
49,Machinery,88.01,88.13,-
50,Leasehold Improvements,39.63,39.83,-
