,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,132,186,170,253,184,235,235,318,182,170,199,Upgrade
1,Market Cap Growth,-26.43%,-26.43%,-7.84%,7.69%,-21.54%,-26.14%,28.71%,87.23%,-8.18%,-50.53%,-46.86%,Upgrade
2,Enterprise Value,332,382,305,537,504,408,203,185,34,-7,19,Upgrade
3,Last Close Price,0.07,0.10,0.09,0.14,0.10,0.13,0.13,0.18,0.10,0.09,0.11,Upgrade
4,PE Ratio,-,-21.28,-,18.88,-,13.79,4.71,9.41,-25.06,-,-,Upgrade
5,PS Ratio,0.36,0.50,0.43,0.60,0.41,0.46,0.43,0.65,0.53,0.64,0.45,Upgrade
6,PB Ratio,0.12,0.16,0.15,0.22,0.16,0.21,0.21,0.28,0.17,0.16,0.18,Upgrade
7,P/TBV Ratio,0.16,0.16,0.15,0.22,0.16,0.21,0.21,0.29,0.17,0.16,0.18,Upgrade
8,P/FCF Ratio,-,-,-,1.32,-22.23,-,-,-,-11.08,-,-47.20,Upgrade
9,P/OCF Ratio,-,-,-,1.29,1129.69,-,-,-,-11.71,-,-71.20,Upgrade
10,EV/Sales Ratio,0.90,1.04,0.77,1.28,1.12,0.79,0.38,0.38,0.10,-,0.04,Upgrade
11,EV/EBITDA Ratio,4.87,8.01,6.47,12.98,24.65,13.04,2.84,3.92,-15.33,-,-,Upgrade
12,EV/EBIT Ratio,7.81,8.98,7.28,14.63,30.27,14.22,2.91,4.09,-7.00,-,-,Upgrade
13,EV/FCF Ratio,-4.66,-,-,2.81,-60.85,-,-,-,-2.05,-,-4.52,Upgrade
14,Debt / Equity Ratio,0.35,0.35,0.36,0.37,0.43,0.40,0.40,0.25,0.33,0.33,0.33,Upgrade
15,Debt / FCF Ratio,-,-,-,2.24,-59.13,-,-,-,-21.65,-,-85.90,Upgrade
16,Return on Capital Employed (ROCE),3.04%,3.04%,2.91%,2.50%,1.05%,1.88%,4.58%,3.28%,-0.39%,-,-,Upgrade
17,Earnings Yield,-6.63%,-4.70%,-0.43%,5.30%,-2.00%,7.25%,21.24%,10.63%,-3.99%,-28.44%,-9.82%,Upgrade
18,FCF Yield,-54.15%,-38.38%,33.73%,75.55%,-4.50%,-53.49%,-56.62%,-25.51%,-9.02%,-11.05%,-2.12%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,9.73%,-,-10.78%,-,19.41%,19.41%,Upgrade,
20,Total Shareholder Return,-,-,-,-,9.73%,-,-10.78%,-,19.41%,19.41%,Upgrade,
