,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,17223,16427,11537,6827,7484,8051,8812,10859,11689,10278,10901
1,Market Cap Growth,140.63%,140.63%,54.16%,-15.21%,-15.07%,-25.86%,-24.62%,5.65%,7.23%,-22.52%,25.39%
2,Enterprise Value,17528,18826,13658,7251,8025,8367,8688,9038,10082,8640,9177
3,Last Close Price,24.90,23.75,16.52,9.55,10.46,11.06,12.10,14.72,15.84,13.90,14.74
4,PE Ratio,20.17,19.24,14.69,11.40,12.21,21.48,28.79,15.45,17.59,96.86,44.40
5,Forward PE,18.38,18.89,14.55,6.93,16.39,16.39,26.68,29.76,33.63,33.39,32.00
6,PS Ratio,1.32,1.26,0.90,0.58,0.61,0.97,1.09,1.35,2.16,2.95,1.57
7,PB Ratio,5.73,5.15,3.67,2.53,2.86,3.60,4.19,5.48,6.92,5.89,7.03
8,P/TBV Ratio,6.10,6.10,4.48,3.18,3.76,4.88,5.97,8.00,6.92,5.89,7.03
9,P/FCF Ratio,-,-,22.04,13.61,19.99,-,-,-442.68,-,-,-
10,P/OCF Ratio,-,-,21.11,13.18,19.44,-,-,-458.25,-,-,-
11,EV/Sales Ratio,1.34,1.44,1.07,0.61,0.66,1.01,1.07,1.12,1.86,2.48,1.32
12,EV/EBITDA Ratio,13.88,14.91,11.42,7.43,8.13,12.00,14.68,26.43,60.06,130.00,34.42
13,EV/EBIT Ratio,14.34,15.40,11.81,7.75,8.49,12.74,15.76,29.50,67.02,137.46,34.62
14,EV/FCF Ratio,-,-,26.09,14.45,21.43,-,-,-368.44,-,-,-
15,Debt / Equity Ratio,0.94,0.94,0.91,0.92,0.89,0.94,1.00,0.66,0.01,0.01,0.02
16,Debt / FCF Ratio,-,-,5.49,4.96,6.19,-,-,-53.57,-,-,-
17,Return on Capital Employed (ROCE),37.24%,37.24%,36.21%,34.10%,36.03%,28.62%,25.17%,14.78%,8.81%,3.56%,16.84%
18,Earnings Yield,4.96%,5.20%,6.81%,8.77%,8.19%,4.66%,3.47%,6.47%,5.69%,1.03%,2.25%
19,FCF Yield,-,4.54%,7.35%,5.00%,-5.06%,-2.05%,-0.23%,-2.34%,-0.43%,1.59%,
20,Dividend Yield,1.85%,1.94%,0.91%,-,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,0.14%,-33.63%,
22,Total Shareholder Return,1.85%,1.94%,0.91%,-,-,-,-,-,-,0.14%,-33.63%
