,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,455,607,554,594,845,574,950,1122,1439,1109,1175,Upgrade
1,Market Cap Growth,2.22%,2.22%,-34.37%,3.45%,-11.11%,-48.82%,-33.94%,1.19%,22.47%,-33.86%,-45.06%,Upgrade
2,Enterprise Value,15301,15227,13501,10782,14309,12170,12515,6732,3158,5068,2738,Upgrade
3,Last Close Price,0.32,0.46,0.42,0.45,0.64,0.43,0.72,0.85,1.06,0.82,0.86,Upgrade
4,PE Ratio,-,-,-,-,1.05,-0.58,-,1.32,1.06,1.49,1.61,Upgrade
5,PS Ratio,0.17,0.25,0.32,0.31,0.41,0.25,0.38,0.45,0.58,0.47,0.49,Upgrade
6,PB Ratio,0.03,0.04,0.04,0.03,0.04,0.04,0.06,0.06,0.06,0.05,0.06,Upgrade
7,P/TBV Ratio,0.04,0.04,0.04,0.03,0.04,0.04,0.06,0.07,0.07,0.05,0.06,Upgrade
8,P/FCF Ratio,2.68,3.58,-,-,1.15,-,-0.89,-,0.73,-4.53,-,Upgrade
9,P/OCF Ratio,2.60,2.60,-,-,1.07,-,-1.21,-,0.70,-6.71,-,Upgrade
10,EV/Sales Ratio,6.33,6.30,7.78,5.70,6.90,5.26,4.99,2.72,1.28,2.13,1.15,Upgrade
11,EV/EBITDA Ratio,-,-3.50,-,-,-,-30.07,-,6.41,1.59,2.71,1.58,Upgrade
12,EV/EBIT Ratio,-,-3.44,-,-,-,-24.27,-,6.93,1.66,2.82,1.66,Upgrade
13,EV/FCF Ratio,90.15,89.72,-,-,19.51,-,-11.76,-,1.60,-20.70,-,Upgrade
14,Debt / Equity Ratio,1.20,1.20,1.21,1.00,0.83,1.20,1.06,1.04,0.77,0.84,0.97,Upgrade
15,Debt / FCF Ratio,100.96,100.96,-,-,22.64,-,-16.33,-,8.83,-72.94,-,Upgrade
16,Return on Capital Employed (ROCE),-,-16.21%,-,-,-,-1.80%,-,2.99%,5.31%,5.54%,5.25%,Upgrade
17,Earnings Yield,-1157.59%,-866.82%,-1044.94%,-25.78%,94.88%,-172.70%,-92.98%,75.58%,94.07%,67.18%,61.98%,Upgrade
18,FCF Yield,37.33%,27.96%,-191.67%,71.67%,86.84%,-9.23%,-112.00%,-8.69%,137.00%,-22.08%,2.02%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,0.02%,0.05%,Upgrade,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,0.02%,0.05%,Upgrade,
