,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,11802,12812,12372,12488,16164,-,-,-,-
1,Enterprise Value,6521,7960,7338,7579,13463,-,-,-,-
2,Last Close Price,9.12,9.79,9.45,9.29,12.02,-,-,-,-
3,PE Ratio,14.82,16.78,24.14,21.68,21.77,-,-,-,-
4,PS Ratio,2.03,2.30,2.34,2.43,3.07,-,-,-,-
5,PB Ratio,1.43,1.55,1.53,1.51,1.99,-,-,-,-
6,P/TBV Ratio,1.56,1.56,1.54,1.52,2.00,-,-,-,-
7,P/FCF Ratio,8.84,9.59,12.36,13.48,13.40,-,-,-,-
8,P/OCF Ratio,6.79,6.79,8.33,9.50,10.16,-,-,-,-
9,EV/Sales Ratio,1.17,1.43,1.39,1.48,2.56,-,-,-,-
10,EV/EBITDA Ratio,4.27,8.09,8.74,8.57,12.86,-,-,-,-
11,EV/EBIT Ratio,8.49,9.42,10.49,10.08,14.64,-,-,-,-
12,EV/FCF Ratio,4.88,5.96,7.33,8.18,11.16,-,-,-,-
13,Debt / Equity Ratio,0.09,0.09,0.07,0.08,0.10,0.15,0.18,0.23,0.23
14,Debt / EBITDA Ratio,0.48,0.47,0.25,0.74,1.11,0.92,0.39,0.87,0.60
15,Debt / FCF Ratio,0.55,0.55,0.60,0.75,0.69,0.57,0.77,1.27,2.11
16,Asset Turnover,0.65,0.59,0.50,0.58,0.65,-,-,-,
17,Inventory Turnover,66.10,69.64,69.32,67.30,78.76,56.71,-,-,-
18,Quick Ratio,4.63,4.63,6.04,5.13,4.76,3.01,2.87,-,2.67
19,Current Ratio,4.69,4.69,6.12,5.20,4.82,3.09,2.94,-,2.72
20,Return on Equity (ROE),19.97%,9.63%,6.26%,2.59%,10.23%,17.32%,19.33%,-,
21,Return on Assets (ROA),9.15%,7.23%,5.10%,0.16%,6.64%,-,-,-,
22,Return on Capital (ROIC),10.11%,7.93%,5.63%,0.18%,7.61%,11.52%,12.42%,-,
23,Return on Capital Employed (ROCE),8.86%,9.75%,8.29%,8.69%,10.72%,19.94%,16.87%,-,5.73%
24,Earnings Yield,6.47%,5.96%,4.14%,4.61%,4.59%,-,-,-,-
25,FCF Yield,11.32%,10.43%,8.09%,7.42%,7.46%,-,-,-,-
26,Dividend Yield,2.43%,-,4.20%,-,2.39%,-,-,-,-
27,Payout Ratio,48.66%,-,192.77%,-,-,-,0.04%,259.50%,-
28,Buyback Yield / Dilution,-12.03%,-15.67%,-21.00%,-11.11%,-2.79%,-,-,-,-
29,Total Shareholder Return,-9.60%,-15.67%,-16.80%,-11.11%,-0.40%,-,-,-,-
