Stock Symbol,Date,Stock Price
300619,2024-09-30,30.85
300619,2024-06-30,24.24
300619,2024-03-31,30.66
300619,2023-12-31,42.39
300619,2023-09-30,45.92
300619,2023-06-30,47.13
300619,2023-03-31,47.82
300619,2022-12-31,47.48
300619,2022-09-30,51.43
300619,2022-06-30,60.78
300619,2022-03-31,63.83
300619,2021-12-31,66.29
300619,2021-09-30,40.98
300619,2021-06-30,18.09
300619,2021-03-31,15.02
300619,2020-12-31,17.32
300619,2020-09-30,16.47
300619,2020-06-30,14.53
300619,2020-03-31,16.48
300619,2019-12-31,17.61
