Stock Symbol,Date,Stock Price
LBE,2024-09-30,21.5
LBE,2024-06-30,22.5
LBE,2024-03-31,26.1
LBE,2023-12-31,22.1
LBE,2023-09-30,16.1
LBE,2023-06-30,15.5
LBE,2023-03-31,17.0
LBE,2022-12-31,21.94
LBE,2022-09-30,23.04
LBE,2022-06-30,15.84
LBE,2022-03-31,14.36
LBE,2021-12-31,13.2
LBE,2021-09-30,15.12
LBE,2021-06-30,13.53
LBE,2021-03-31,14.02
LBE,2020-12-31,18.0
LBE,2020-09-30,19.96
LBE,2020-06-30,19.96
LBE,2020-03-31,17.16
LBE,2019-12-31,18.36
