,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,8501,10377,8126,5001,7001,12977,17149,16015,12862,8323,8196,Upgrade
1,Market Cap Growth,107.50%,107.50%,16.07%,-61.46%,-59.18%,-18.97%,33.33%,92.42%,56.92%,-1.49%,3.17%,Upgrade
2,Enterprise Value,13282,14552,11689,7983,9665,15357,19626,18818,15797,11869,11656,Upgrade
3,Last Close Price,0.68,0.83,0.65,0.40,0.56,1.02,1.35,1.26,1.01,0.65,0.64,Upgrade
4,PE Ratio,106.99,130.49,-90.00,-,-,33.66,-,17.28,55.40,-,-,Upgrade
5,PS Ratio,1.83,2.23,1.63,0.95,1.02,3.07,-,3.04,3.12,5.01,-,Upgrade
6,PB Ratio,1.21,1.15,0.90,0.55,0.77,1.33,1.87,1.89,1.63,1.11,1.06,Upgrade
7,P/TBV Ratio,2.93,2.93,2.37,1.47,2.04,3.38,5.11,4.49,4.22,3.08,2.80,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,22.24,14.01,11.61,-,Upgrade
9,P/OCF Ratio,13.93,14.28,35.98,-,18.07,158.35,-,11.76,9.58,9.35,-,Upgrade
10,EV/Sales Ratio,2.86,3.13,2.34,1.52,1.41,3.63,-,3.58,3.83,7.14,-,Upgrade
11,EV/EBITDA Ratio,12.24,13.48,12.69,56.24,-,13.35,-,9.14,14.16,37.35,-,Upgrade
12,EV/EBIT Ratio,35.14,38.50,43.31,-15.19,-,18.99,-,11.90,24.75,-,-,Upgrade
13,EV/FCF Ratio,-15.03,-,-,-,-,-,-,26.14,17.21,16.56,-,Upgrade
14,Debt / Equity Ratio,0.48,0.48,0.40,0.36,0.27,0.27,0.31,0.40,0.34,0.39,0.38,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,-,4.67,2.94,4.06,-,Upgrade
16,Return on Capital Employed (ROCE),2.44%,2.44%,1.80%,-3.63%,-,6.01%,-,12.37%,5.53%,-,-,Upgrade
17,Earnings Yield,0.94%,0.77%,-1.11%,-9.50%,0.11%,2.97%,-,5.79%,1.80%,-2.64%,-,Upgrade
18,FCF Yield,-10.39%,-8.69%,-11.80%,-14.95%,-5.20%,-0.87%,-,4.50%,7.14%,8.61%,-,Upgrade
19,Buyback Yield / Dilution,-2.61%,-5.52%,5.48%,5.99%,-,0.01%,-,-5.47%,-,5.19%,-,Upgrade
20,Total Shareholder Return,-2.30%,-5.52%,5.48%,5.99%,-,0.01%,-,-5.47%,-,5.19%,-,Upgrade
