Stock Symbol,Date,Stock Price
002275,2024-09-30,15.26
002275,2024-06-30,12.2
002275,2024-03-31,13.7
002275,2023-12-31,13.94
002275,2023-09-30,15.93
002275,2023-06-30,17.04
002275,2023-03-31,15.65
002275,2022-12-31,12.26
002275,2022-09-30,12.05
002275,2022-06-30,11.76
002275,2022-03-31,11.98
002275,2021-12-31,14.66
002275,2021-09-30,11.24
002275,2021-06-30,11.39
002275,2021-03-31,10.75
002275,2020-12-31,12.18
002275,2020-09-30,11.24
002275,2020-06-30,11.56
002275,2020-03-31,10.36
002275,2019-12-31,10.54
