,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,386,356,426,199,337,337,147,618,1140,1425,1447,Upgrade
1,Market Cap Growth,79.07%,79.07%,26.56%,-40.94%,129.25%,-45.53%,-87.12%,-56.62%,-21.21%,-26.14%,-16.46%,Upgrade
2,Enterprise Value,424,413,509,315,413,445,402,878,1393,1648,1590,Upgrade
3,Last Close Price,4.98,4.60,5.40,3.26,6.63,6.63,3.47,14.61,26.94,33.67,34.19,Upgrade
4,PE Ratio,7.24,7.30,28.88,-,-,-,-,-,-,81.39,258.07,Upgrade
5,PS Ratio,1.07,1.08,1.19,0.38,0.74,0.57,0.09,0.22,0.56,1.45,1.55,Upgrade
6,PB Ratio,1.38,1.28,1.53,1.17,1.81,1.36,0.50,1.32,2.14,2.27,2.31,Upgrade
7,P/TBV Ratio,1.32,1.32,1.57,1.24,2.01,1.41,0.52,1.49,2.40,2.51,2.56,Upgrade
8,P/FCF Ratio,7.54,6.97,11.17,-,-,24.49,6.43,42.93,-,-,-,Upgrade
9,P/OCF Ratio,6.85,6.85,10.92,-,-,23.71,6.31,39.88,-,-,-,Upgrade
10,EV/Sales Ratio,1.29,1.25,1.43,0.60,0.90,0.76,0.24,0.31,0.69,1.68,1.70,Upgrade
11,EV/EBITDA Ratio,5.14,5.54,17.35,-,-,-,-,-,-,36.20,53.12,Upgrade
12,EV/EBIT Ratio,6.36,6.18,23.62,-,-,-,-,-,-,50.57,93.88,Upgrade
13,EV/FCF Ratio,8.30,8.07,13.33,-,-,32.33,17.59,60.94,-,-,-,Upgrade
14,Debt / Equity Ratio,0.39,0.39,0.48,1.01,0.99,0.66,0.60,0.73,0.65,0.52,0.55,Upgrade
15,Debt / FCF Ratio,2.16,2.16,3.48,-,-,11.90,7.77,23.53,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),23.52%,23.52%,7.54%,-,-,-,-,-,-,5.17%,2.70%,Upgrade
17,Earnings Yield,12.66%,13.71%,3.46%,-46.03%,-37.89%,-71.80%,-164.08%,-26.33%,-8.17%,1.23%,0.39%,Upgrade
18,FCF Yield,13.26%,14.36%,8.96%,-7.87%,-1.36%,4.08%,15.54%,2.33%,-2.64%,-7.41%,-15.83%,Upgrade
19,Buyback Yield / Dilution,-62.24%,-79.10%,-45.14%,-20.19%,-20.03%,-1.32%,-,-,-,0.48%,0.98%,Upgrade
20,Total Shareholder Return,-62.24%,-79.10%,-45.14%,-20.19%,-20.03%,-1.32%,-,-,-,0.48%,0.98%,Upgrade
