Stock Symbol,Date,Stock Price
2378,2024-09-30,74.0
2378,2024-06-30,70.593
2378,2024-03-31,73.141
2378,2023-12-31,87.196
2378,2023-09-30,84.553
2378,2023-06-30,106.791
2378,2023-03-31,105.694
2378,2022-12-31,109.272
2378,2022-09-30,76.699
2378,2022-06-30,94.727
2378,2022-03-31,114.588
2378,2021-12-31,132.204
2378,2021-09-30,149.314
2378,2021-06-30,145.134
2378,2021-03-31,162.011
2378,2020-12-31,138.605
2378,2020-09-30,108.918
2378,2020-06-30,110.423
2378,2020-03-31,96.355
2378,2019-12-31,141.969
