,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,8305,9474,8938,8062,9289,11282,10214,9797,6637,6552,Upgrade
1,Revenue Growth (YoY),-7.07%,17.51%,-3.78%,-28.54%,-9.06%,15.16%,53.90%,49.54%,18.67%,13.54%,Upgrade
2,Cost of Revenue,5025,5718,5446,4992,5681,7092,6514,6190,4315,4090,Upgrade
3,Gross Profit,3281,3756,3492,3070,3608,4190,3700,3607,2322,2461,Upgrade
4,"Selling, General & Admin",1826,2216,2054,1957,2408,2693,2550,2394,1503,1382,Upgrade
5,Other Operating Expenses,-25.46,-70.94,-95.43,-91.22,-180.29,-59.83,-95.57,-248.75,-198.98,-179.71,Upgrade
6,Operating Expenses,1800,2145,1959,1866,2227,2633,2454,2145,1304,1202,Upgrade
7,Operating Income,1481,1611,1533,1204,1381,1557,1246,1462,1018,1259,Upgrade
8,Interest Expense,-73.07,-102.05,-98.01,-103.75,-61.02,-45.62,-32.59,-38.71,-55.1,-71.67,Upgrade
9,Interest & Investment Income,63.3,68.76,83.34,66.47,53.84,50.68,41.57,29.76,31.79,32.61,Upgrade
10,Earnings From Equity Investments,0.45,0.91,3.14,8.21,1.79,4.44,5.21,4.05,1.66,0.58,Upgrade
11,Currency Exchange Gain (Loss),-3.73,4.01,9.47,3.03,57.19,-6.51,6.15,-16.47,-12.4,-9.17,Upgrade
12,Other Non Operating Income (Expenses),-0.05,-0.19,-0.25,-0.04,-0.05,-0.57,-0.91,-2.15,-0.09,-1.22,Upgrade
13,EBT Excluding Unusual Items,1468,1582,1531,1178,1432,1559,1266,1438,984.35,1210,Upgrade
14,Impairment of Goodwill,-,-0.05,-12.22,-133.75,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-24.95,-121.85,-98,-,-15.8,0.16,-0.67,-2.93,-58.86,-2.8,Upgrade
16,Gain (Loss) on Sale of Assets,-3.21,-16.72,-6.32,-3.28,-56.32,-2.71,-1.99,4.28,-4.97,-1.59,Upgrade
17,Asset Writedown,-,-2.51,-,-52.66,-,-0.3,-,0.24,-,-4.57,Upgrade
18,Other Unusual Items,-,8.95,-,6.11,-,-,-,-,-,-,Upgrade
19,Pretax Income,1439,1450,1414,994.64,1360,1557,1263,1440,920.52,1201,Upgrade
20,Income Tax Expense,244.8,238.76,229.72,204.63,292.06,265.56,237.37,204.74,132.17,243.21,Upgrade
21,Earnings From Continuing Operations,1195,1211,1185,790,1068,1291,1026,1235,788.35,957.84,Upgrade
22,Minority Interest in Earnings,-55.63,-45.1,-48.54,32.78,23.96,-31.62,-37.45,-59.85,-39.05,-25.45,Upgrade
23,Net Income,1139,1166,1136,822.78,1092,1259,988.14,1175,749.3,932.39,Upgrade
24,Net Income to Common,1139,1166,1136,822.78,1092,1259,988.14,1175,749.3,932.39,Upgrade
25,Net Income Growth,0.25%,41.75%,4.02%,-34.67%,10.52%,7.16%,31.87%,26.04%,6.18%,33.49%,Upgrade
26,Shares Outstanding (Basic),3878,3882,3911,3919,3929,3941,3959,3860,3799,3816,Upgrade
27,Shares Outstanding (Diluted),3878,3883,3911,3921,3931,3948,3969,3875,3808,3818,Upgrade
28,Shares Change (YoY),-0.85%,-0.96%,-0.51%,-0.70%,-0.95%,1.89%,4.23%,1.49%,-0.40%,-0.17%,Upgrade
29,EPS (Basic),0.29,0.30,0.29,0.21,0.28,0.32,0.25,0.30,0.20,0.24,Upgrade
30,EPS (Diluted),0.29,0.30,0.29,0.21,0.28,0.32,0.25,0.30,0.20,0.24,Upgrade
31,EPS Growth,1.14%,43.18%,4.54%,-34.20%,11.57%,5.15%,26.53%,24.22%,6.62%,33.72%,Upgrade
32,Free Cash Flow,1217,667.93,720.04,1279,1225,264.58,321.36,-94.01,750.24,906.07,Upgrade
33,Free Cash Flow Per Share,0.31,0.17,0.18,0.33,0.31,0.07,0.08,-0.02,0.20,0.24,Upgrade
34,Dividend Per Share,0.150,0.150,0.150,0.100,0.150,0.170,0.130,0.160,0.100,0.120,Upgrade
35,Dividend Growth,0%,50.00%,0%,-41.18%,15.38%,6.25%,30.00%,33.33%,42.86%,100.00%,Upgrade
36,Operating Margin,17.83%,17.00%,17.15%,14.94%,14.86%,13.80%,12.20%,14.92%,15.35%,19.22%,Upgrade
37,Profit Margin,13.71%,12.31%,12.71%,10.21%,11.76%,11.16%,9.67%,12.00%,11.29%,14.23%,Upgrade
38,Free Cash Flow Margin,14.65%,7.05%,8.06%,15.87%,13.18%,2.35%,3.15%,-0.96%,11.30%,13.83%,Upgrade
39,EBITDA,1716,1835,1790,1497,1665,1870,1519,1697,1207,1423,Upgrade
40,D&A For EBITDA,235.29,223.7,257.17,292.99,284.44,312.6,272.62,234.86,188.47,164.58,Upgrade
41,EBIT,1481,1611,1533,1204,1381,1557,1246,1462,1018,1259,Upgrade
42,Advertising Expenses,206.42,-,308.42,-,-,-,-,-,-,-,Upgrade
