Stock Symbol,Date,Stock Price
603810,2024-09-30,9.6
603810,2024-06-30,8.36
603810,2024-03-31,13.6
603810,2023-12-31,13.37
603810,2023-09-30,13.03
603810,2023-06-30,13.77
603810,2023-03-31,15.74
603810,2022-12-31,16.69
603810,2022-09-30,14.59
603810,2022-06-30,12.92
603810,2022-03-31,14.18
603810,2021-12-31,13.34
603810,2021-09-30,13.35
603810,2021-06-30,15.05
603810,2021-03-31,19.18
603810,2020-12-31,16.27
603810,2020-09-30,20.62
603810,2020-06-30,23.23
603810,2020-03-31,13.26
603810,2019-12-31,14.63
