,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,17,35,46,38,49,48,81,128,67,54,78,Upgrade
1,Market Cap Growth,-6.87%,-6.87%,-5.88%,-20.61%,-39.29%,-62.50%,21.74%,138.55%,-14.27%,-47.62%,-27.27%,Upgrade
2,Enterprise Value,189,180,168,197,240,266,347,396,383,369,420,Upgrade
3,Last Close Price,0.06,0.12,0.16,0.13,0.17,0.17,0.28,0.44,0.23,0.22,0.32,Upgrade
4,PE Ratio,-,-,-,2.66,10.36,-1.23,-,-,-,-,-,Upgrade
5,PS Ratio,0.07,0.14,0.16,0.13,0.18,0.18,0.35,0.57,0.26,0.19,0.27,Upgrade
6,PB Ratio,22.64,46.03,2.23,1.43,2.64,3.03,5.89,2.42,0.73,0.59,0.67,Upgrade
7,P/TBV Ratio,50.49,50.49,2.23,1.44,3.26,3.92,7.87,2.58,0.76,0.61,0.69,Upgrade
8,P/FCF Ratio,0.24,0.49,0.54,0.46,0.59,0.76,2.45,2.36,1.27,1.02,0.68,Upgrade
9,P/OCF Ratio,0.48,0.48,0.53,0.45,0.58,0.73,2.26,2.22,1.19,0.94,0.63,Upgrade
10,EV/Sales Ratio,0.73,0.69,0.56,0.65,0.88,1.01,1.47,1.77,1.50,1.34,1.45,Upgrade
11,EV/EBITDA Ratio,3.66,-,-,12.15,22.19,-225.92,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,13.75,27.34,-74.32,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,2.63,2.51,1.96,2.40,2.87,4.23,10.45,7.34,7.31,7.01,3.67,Upgrade
14,Debt / Equity Ratio,283.61,283.61,10.07,6.88,11.78,16.00,20.29,5.82,3.75,4.09,3.72,Upgrade
15,Debt / FCF Ratio,3.03,3.03,2.45,2.23,2.63,4.01,8.44,5.69,6.51,7.07,3.79,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,22.85%,7.04%,-2.21%,-,-,-,-,-,Upgrade
17,Earnings Yield,-148.94%,-73.25%,12.22%,37.54%,9.65%,-81.38%,-98.82%,-41.63%,-60.82%,-127.03%,-86.26%,Upgrade
18,FCF Yield,413.29%,203.26%,184.77%,216.43%,169.65%,131.47%,40.85%,42.29%,78.51%,98.39%,147.12%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-12.63%,-19.27%,-5.90%,-,-,Upgrade,
20,Total Shareholder Return,-,-,-,-,-,-12.63%,-19.27%,-5.90%,-,-,Upgrade,
